Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
temp,org.apache.shiro.config,Ini,load,Complex Conditional,The conditional expression line == null || line.startsWith(COMMENT_POUND) || line.startsWith(COMMENT_SEMICOLON) is complex.,310
temp,org.apache.shiro.config,Ini,isContinued,Magic Number,The method contains a magic number: 2,482
temp,org.apache.shiro.config,Ini,splitKeyValue,Complex Conditional,The conditional expression valueBuffer.length() == 0 && isKeyValueSeparatorChar(c) && !isCharEscaped(line`i) is complex.,509
temp,org.apache.shiro.config,Ini,hashCode,Magic Number,The method contains a magic number: 31,643
temp,org.apache.shiro.config,Section,isContinued,Magic Number,The method contains a magic number: 2,482
temp,org.apache.shiro.config,Section,splitKeyValue,Complex Conditional,The conditional expression valueBuffer.length() == 0 && isKeyValueSeparatorChar(c) && !isCharEscaped(line`i) is complex.,509
temp,org.apache.shiro.config,Section,hashCode,Magic Number,The method contains a magic number: 31,643
temp,org.apache.shiro.config,IniFactorySupport,createInstance,Long Statement,The length of the statement "String msg=getClass().getName() + " implementation did not return a default instance in " + "the event of a null/empty Ini configuration. This is required to support the "+ "Factory interface. Please check your implementation.";" is 228.,97
temp,org.apache.shiro.config,IniFactorySupport,createInstance,Long Statement,The length of the statement "String msg=getClass().getName() + " implementation did not return a constructed instance from " + "the createInstance(Ini) method implementation.";" is 147.,97
temp,org.apache.shiro.config,IniSecurityManagerFactory,isAutoApplyRealms,Long Statement,The length of the statement "log.info("Realms have been explicitly set on the SecurityManager instance - auto-setting of " + "realms will not occur.");" is 122.,100
temp,org.apache.shiro.config,IniSecurityManagerFactory,assertRealmSecurityManager,Long Statement,The length of the statement "String msg="securityManager instance is not a " + RealmSecurityManager.class.getName() + " instance. This is required to access or configure realms on the instance.";" is 166.,216
temp,org.apache.shiro.config,IniSecurityManagerFactory,shouldImplicitlyCreateRealm,Long Statement,The length of the statement "return !CollectionUtils.isEmpty(ini) && (!CollectionUtils.isEmpty(ini.getSection(IniRealm.ROLES_SECTION_NAME)) || !CollectionUtils.isEmpty(ini.getSection(IniRealm.USERS_SECTION_NAME)));" is 185.,232
temp,org.apache.shiro.config,ReflectionBuilder,getBean,Long Statement,The length of the statement "throw new IllegalStateException("Bean with id [" + id + "] is not of the required type ["+ requiredType.getName()+ "].");" is 121.,82
temp,org.apache.shiro.config,ReflectionBuilder,createNewInstance,Long Statement,The length of the statement "log.info("An instance with name '{}' already exists. " + "Redefining this object as a new instance of type []"`name`value);" is 123.,131
temp,org.apache.shiro.config,ReflectionBuilder,createNewInstance,Long Statement,The length of the statement "String msg="Unable to instantiate class [" + value + "] for object named '"+ name+ "'. "+ "Please ensure you've specified the fully qualified class name correctly.";" is 165.,131
temp,org.apache.shiro.config,ReflectionBuilder,applyProperty,Long Statement,The length of the statement "throw new IllegalArgumentException("All property keys must contain a '.' character. " + "(e.g. myBean.property = value) These should already be separated out by buildObjects().");" is 179.,153
temp,org.apache.shiro.config,ReflectionBuilder,applyGlobalProperty,Long Statement,The length of the statement "String msg="Error retrieving property descriptor for instance " + "of type [" + instance.getClass().getName() + "] "+ "while setting property ["+ property+ "]";" is 160.,173
temp,org.apache.shiro.config,ReflectionBuilder,applySingleProperty,Long Statement,The length of the statement "throw new IllegalArgumentException("Property keys should not contain 'class' properties since these " + "should already be separated out by buildObjects().");" is 158.,189
temp,org.apache.shiro.config,ReflectionBuilder,applySingleProperty,Long Statement,The length of the statement "String msg="Configuration error. Specified object [" + name + "] with property ["+ property+ "] without first defining that object's class. Please first "+ "specify the class property first` e.g. myObject = fully_qualified_class_name "+ "and then define additional properties.";" is 278.,189
