Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no
temp,org.apache.shiro.config,IniTest,getMetaClass,3,1,0,15
temp,org.apache.shiro.config,IniTest,setMetaClass,2,1,1,16
temp,org.apache.shiro.config,IniTest,testNoSections,2,1,0,17
temp,org.apache.shiro.config,IniTest,testIsContinued,2,1,0,18
temp,org.apache.shiro.config,IniTest,testBackslash,2,1,0,19
temp,org.apache.shiro.config,IniTest,testSplitKeyValue,2,1,0,20
temp,org.apache.shiro.config,IniTest,testSplitKeyValueNoValue,2,1,0,21
temp,org.apache.shiro.config,IniTest,testOneSection,2,1,0,22
temp,org.apache.shiro.config,IniTest,testPutAll,2,1,0,23
temp,org.apache.shiro.config,IniTest,testMerge,2,1,0,24
temp,org.apache.shiro.config,IniTest,testCreateWithDefaults,2,1,0,25
temp,org.apache.shiro.config,ConfigurationException,ConfigurationException,3,1,0,32
temp,org.apache.shiro.config,ConfigurationException,ConfigurationException,3,1,1,39
temp,org.apache.shiro.config,ConfigurationException,ConfigurationException,3,1,1,48
temp,org.apache.shiro.config,ConfigurationException,ConfigurationException,3,1,2,57
temp,org.apache.shiro.config,Ini,Ini,3,1,0,55
temp,org.apache.shiro.config,Ini,Ini,10,3,1,62
temp,org.apache.shiro.config,Ini,isEmpty,11,4,0,78
temp,org.apache.shiro.config,Ini,getSectionNames,3,1,0,97
temp,org.apache.shiro.config,Ini,getSections,3,1,0,108
temp,org.apache.shiro.config,Ini,getSection,4,1,1,119
temp,org.apache.shiro.config,Ini,addSection,9,2,1,130
temp,org.apache.shiro.config,Ini,removeSection,4,1,1,146
temp,org.apache.shiro.config,Ini,cleanName,8,2,1,157
temp,org.apache.shiro.config,Ini,setSectionProperty,8,2,3,166
temp,org.apache.shiro.config,Ini,getSectionProperty,4,1,2,184
temp,org.apache.shiro.config,Ini,getSectionProperty,4,1,3,196
temp,org.apache.shiro.config,Ini,fromResourcePath,8,2,1,211
temp,org.apache.shiro.config,Ini,loadFromPath,10,1,1,229
temp,org.apache.shiro.config,Ini,load,3,1,1,247
temp,org.apache.shiro.config,Ini,load,13,2,1,257
temp,org.apache.shiro.config,Ini,load,14,1,1,278
temp,org.apache.shiro.config,Ini,addSection,12,4,2,297
temp,org.apache.shiro.config,Ini,load,24,5,1,310
temp,org.apache.shiro.config,Ini,isSectionHeader,4,1,1,354
temp,org.apache.shiro.config,Ini,getSectionName,7,2,1,359
temp,org.apache.shiro.config,Ini,equals,7,2,1,367
temp,org.apache.shiro.config,Ini,hashCode,3,1,0,375
temp,org.apache.shiro.config,Ini,toString,17,4,0,380
temp,org.apache.shiro.config,Ini,size,3,1,0,397
temp,org.apache.shiro.config,Ini,containsKey,3,1,1,401
temp,org.apache.shiro.config,Ini,containsValue,3,1,1,405
temp,org.apache.shiro.config,Ini,get,3,1,1,409
temp,org.apache.shiro.config,Ini,put,3,1,2,413
temp,org.apache.shiro.config,Ini,remove,3,1,1,417
temp,org.apache.shiro.config,Ini,putAll,3,1,1,421
temp,org.apache.shiro.config,Ini,clear,3,1,0,425
temp,org.apache.shiro.config,Ini,keySet,3,1,0,429
temp,org.apache.shiro.config,Ini,values,3,1,0,433
