Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
temp,org.apache.shiro.config,IniTest,0,0,11,11,25,11,0,0,-1.0,0,0,C:\Users\qurra\temp\temp\config\core\target\generated-sources\groovy-stubs\test\org\apache\shiro\config\IniTest.java,11
temp,org.apache.shiro.config,ConfigurationException,0,0,4,4,34,4,0,0,-1.0,0,0,C:\Users\qurra\temp\temp\core\src\main\java\org\apache\shiro\config\ConfigurationException.java,24
temp,org.apache.shiro.config,Ini,11,6,59,47,495,98,0,0,0.22033898305084745,14,4,C:\Users\qurra\temp\temp\core\src\main\java\org\apache\shiro\config\Ini.java,30
temp,org.apache.shiro.config,Section,2,0,24,16,172,41,0,0,0.2916666666666667,0,1,C:\Users\qurra\temp\temp\core\src\main\java\org\apache\shiro\config\Ini.java,441
temp,org.apache.shiro.config,IniFactorySupport,3,1,9,4,75,15,0,0,0.4444444444444444,2,2,C:\Users\qurra\temp\temp\core\src\main\java\org\apache\shiro\config\IniFactorySupport.java,28
temp,org.apache.shiro.config,IniSecurityManagerFactory,5,3,20,4,165,38,0,0,0.75,3,7,C:\Users\qurra\temp\temp\core\src\main\java\org\apache\shiro\config\IniSecurityManagerFactory.java,36
temp,org.apache.shiro.config,ReflectionBuilder,12,0,30,7,386,82,0,0,0.4666666666666667,0,2,C:\Users\qurra\temp\temp\core\src\main\java\org\apache\shiro\config\ReflectionBuilder.java,33
temp,org.apache.shiro.config,ResourceConfigurable,0,0,2,0,16,2,0,0,-1.0,1,0,C:\Users\qurra\temp\temp\core\src\main\java\org\apache\shiro\config\ResourceConfigurable.java,21
temp,org.apache.shiro.config,UnresolveableReferenceException,0,0,4,4,34,4,0,0,-1.0,0,0,C:\Users\qurra\temp\temp\core\src\main\java\org\apache\shiro\config\UnresolveableReferenceException.java,21
temp,org.apache.shiro.config,CompositeBean,11,0,24,24,87,24,0,0,0.5,0,1,C:\Users\qurra\temp\temp\core\src\test\java\org\apache\shiro\config\CompositeBean.java,26
temp,org.apache.shiro.config,HashMapCacheManager,0,0,2,1,14,2,0,0,-1.0,0,0,C:\Users\qurra\temp\temp\core\src\test\java\org\apache\shiro\config\HashMapCacheManager.java,28
temp,org.apache.shiro.config,HashMapCache,0,0,1,1,5,1,0,0,-1.0,0,0,C:\Users\qurra\temp\temp\core\src\test\java\org\apache\shiro\config\HashMapCacheManager.java,43
temp,org.apache.shiro.config,IniTest,1,0,5,5,90,5,0,0,0.8,0,1,C:\Users\qurra\temp\temp\core\src\test\java\org\apache\shiro\config\IniTest.java,26
temp,org.apache.shiro.config,SimpleBean,5,0,12,12,45,12,0,0,0.5,2,0,C:\Users\qurra\temp\temp\core\src\test\java\org\apache\shiro\config\SimpleBean.java,23
temp,org.apache.shiro.config,SimpleBeanFactory,2,0,5,5,22,5,0,0,0.0,0,1,C:\Users\qurra\temp\temp\core\src\test\java\org\apache\shiro\config\SimpleBeanFactory.java,23
temp,org.apache.shiro.config,IniSecurityManagerFactoryTest,0,0,11,11,25,11,0,0,-1.0,0,0,C:\Users\qurra\temp\temp\core\target\generated-sources\groovy-stubs\test\org\apache\shiro\config\IniSecurityManagerFactoryTest.java,10
temp,org.apache.shiro.config,MockPermissionResolver,0,0,6,6,18,6,0,0,-1.0,0,0,C:\Users\qurra\temp\temp\core\target\generated-sources\groovy-stubs\test\org\apache\shiro\config\MockPermissionResolver.java,9
temp,org.apache.shiro.config.ogdl,CommonsInterpolatorTest,1,1,3,3,10,3,0,0,1.0,0,0,C:\Users\qurra\temp\temp\config\ogdl\target\generated-sources\groovy-stubs\test\org\apache\shiro\config\ogdl\CommonsInterpolatorTest.java,11
temp,org.apache.shiro.config.ogdl,CompositeBean,0,0,27,27,69,27,0,0,-1.0,1,2,C:\Users\qurra\temp\temp\config\ogdl\target\generated-sources\groovy-stubs\test\org\apache\shiro\config\ogdl\CompositeBean.java,9
temp,org.apache.shiro.config.ogdl,DefaultInterpolatorTest,0,0,3,3,9,3,0,0,-1.0,0,0,C:\Users\qurra\temp\temp\config\ogdl\target\generated-sources\groovy-stubs\test\org\apache\shiro\config\ogdl\DefaultInterpolatorTest.java,11
temp,org.apache.shiro.config.ogdl,InitializableBean,0,0,5,5,14,5,0,0,-1.0,0,0,C:\Users\qurra\temp\temp\config\ogdl\target\generated-sources\groovy-stubs\test\org\apache\shiro\config\ogdl\InitializableBean.java,9
temp,org.apache.shiro.config.ogdl,RecordingBeanListener,0,0,12,12,32,12,0,0,-1.0,0,0,C:\Users\qurra\temp\temp\config\ogdl\target\generated-sources\groovy-stubs\test\org\apache\shiro\config\ogdl\RecordingBeanListener.java,10
temp,org.apache.shiro.config.ogdl,ReflectionBuilderTest,0,0,40,40,83,40,0,0,-1.0,0,0,C:\Users\qurra\temp\temp\config\ogdl\target\generated-sources\groovy-stubs\test\org\apache\shiro\config\ogdl\ReflectionBuilderTest.java,11
temp,org.apache.shiro.config.ogdl,SimpleBean,0,0,20,20,51,20,0,0,-1.0,1,0,C:\Users\qurra\temp\temp\config\ogdl\target\generated-sources\groovy-stubs\test\org\apache\shiro\config\ogdl\SimpleBean.java,9
temp,org.apache.shiro.config.ogdl,SimpleBeanFactory,0,0,7,7,20,7,0,0,-1.0,0,0,C:\Users\qurra\temp\temp\config\ogdl\target\generated-sources\groovy-stubs\test\org\apache\shiro\config\ogdl\SimpleBeanFactory.java,9
temp,org.apache.shiro.config.ogdl.event,BeanEventTest,0,0,6,6,19,6,0,0,-1.0,0,0,C:\Users\qurra\temp\temp\config\ogdl\target\generated-sources\groovy-stubs\test\org\apache\shiro\config\ogdl\event\BeanEventTest.java,11
temp,org.apache.shiro.config.ogdl.event,MyBeanEvent,0,0,3,3,10,3,0,0,-1.0,0,0,C:\Users\qurra\temp\temp\config\ogdl\target\generated-sources\groovy-stubs\test\org\apache\shiro\config\ogdl\event\BeanEventTest.java,18
temp,org.apache.shiro.config.ogdl.event,LoggingBeanEventListenerTest,0,0,6,6,19,6,0,0,-1.0,0,0,C:\Users\qurra\temp\temp\core\target\generated-sources\groovy-stubs\test\org\apache\shiro\config\ogdl\event\LoggingBeanEventListenerTest.java,9
temp,org.apache.shiro.config.ogdl.event,MisnamedBean,0,0,3,3,10,3,0,0,-1.0,0,0,C:\Users\qurra\temp\temp\core\target\generated-sources\groovy-stubs\test\org\apache\shiro\config\ogdl\event\LoggingBeanEventListenerTest.java,16
temp,org.apache.shiro.aop,AnnotationHandler,1,0,4,2,43,5,0,0,0.5,0,1,C:\Users\qurra\temp\temp\core\src\main\java\org\apache\shiro\aop\AnnotationHandler.java,27
temp,org.apache.shiro.aop,AnnotationMethodInterceptor,2,0,8,7,78,9,0,0,0.375,0,0,C:\Users\qurra\temp\temp\core\src\main\java\org\apache\shiro\aop\AnnotationMethodInterceptor.java,23
temp,org.apache.shiro.aop,AnnotationResolver,0,0,1,0,13,1,0,0,-1.0,0,0,C:\Users\qurra\temp\temp\core\src\main\java\org\apache\shiro\aop\AnnotationResolver.java,23
temp,org.apache.shiro.aop,DefaultAnnotationResolver,0,0,1,1,24,3,0,0,-1.0,1,1,C:\Users\qurra\temp\temp\core\src\main\java\org\apache\shiro\aop\DefaultAnnotationResolver.java,24
temp,org.apache.shiro.aop,MethodInterceptor,0,0,1,0,13,1,1,0,-1.0,1,0,C:\Users\qurra\temp\temp\core\src\main\java\org\apache\shiro\aop\MethodInterceptor.java,21
temp,org.apache.shiro.aop,MethodInterceptorSupport,0,0,2,1,18,2,0,1,-1.0,0,1,C:\Users\qurra\temp\temp\core\src\main\java\org\apache\shiro\aop\MethodInterceptorSupport.java,25
temp,org.apache.shiro.aop,MethodInvocation,0,0,4,0,28,4,0,0,-1.0,3,0,C:\Users\qurra\temp\temp\core\src\main\java\org\apache\shiro\aop\MethodInvocation.java,23
temp,org.apache.shiro.aop,AnnotationResolverTest,1,0,4,4,25,4,0,0,0.75,0,2,C:\Users\qurra\temp\temp\core\src\test\java\org\apache\shiro\aop\AnnotationResolverTest.java,33
