Project Name,Package Name,Architecture Smell,Cause of the Smell
temp,org.apache.shiro.config.ogdl,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [CommonsInterpolatorTest]; [CompositeBean; SimpleBean]; [DefaultInterpolatorTest]; [InitializableBean]; [RecordingBeanListener]; [ReflectionBuilderTest]; [SimpleBeanFactory]. LCC (Lack of Component Cohesion) = 0.88
temp,org.apache.shiro.realm,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AuthenticatingRealmIntegrationTest]; [AuthenticatingRealmTest]; [TestAuthenticatingRealm]; [NoLookupAuthenticatingRealm]; [CachingRealmTest]; [TestCachingRealm]; [TestAuthenticatingRealm]. LCC (Lack of Component Cohesion) = 1.0
temp,org.apache.shiro.crypto.hash.format,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Base64FormatTest]; [DefaultHashFormatFactoryTest]; [HexFormatTest]; [ProvidedHashFormatTest]; [Shiro1CryptFormatTest]; [ToStringHashFormat]. LCC (Lack of Component Cohesion) = 1.0
temp,org.apache.shiro.event.support,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AnnotationEventListenerResolverTest]; [BarEvent; BazEvent; FooEvent; SubclassTestSubscriber; TestSubscriber; ErroneouslyAnnotatedSubscriber; ErrorCausingEvent; ExceptionThrowingSubscriber]; [DefaultEventBusTest]; [EventClassComparatorTest]; [EventListenerComparatorTest]; [InvalidMethodModifierSubscriber]; [NotAnnotatedSubscriber]; [SimpleEvent; SimpleSubscriber]; [SingleArgumentMethodEventListenerTest]. LCC (Lack of Component Cohesion) = 0.53
temp,org.jsecurity.samples.spring.web,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [IndexController; SessionValueCommand]; [JnlpController]; [LoginCommand; LoginController]; [LogoutController]. LCC (Lack of Component Cohesion) = 0.67
temp,org.jsecurity.authc,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AccountException; AuthenticationException; ConcurrentAccessException; CredentialException; DisabledAccountException; ExcessiveAttemptsException; ExpiredCredentialException; IncorrectCredentialException; LockedAccountException; UnknownAccountException]; [AuthenticationInfo]; [AuthenticationToken; Authenticator; UsernamePasswordToken]. LCC (Lack of Component Cohesion) = 0.21
temp,org.jsecurity.authc.event,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AuthenticationEvent; AuthenticationEventListener; AuthenticationEventSender; FailedAuthenticationEvent; LogoutEvent; SuccessfulAuthenticationEvent; UnlockedAccountEvent]; [AuthenticationEventFactory]. LCC (Lack of Component Cohesion) = 0.25
temp,org.jsecurity.authc.support,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jsecurity.authc.support; org.jsecurity
temp,org.jsecurity.authc.support,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jsecurity.authc.support; org.jsecurity.context.factory.support; org.jsecurity
temp,org.jsecurity.authz,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AuthorizationException; NoAuthorizationInfoFoundException; UnauthenticatedException; UnauthorizedException; HostUnauthorizedException]; [AuthorizationOperations]; [AuthorizedAction; Authorizer]; [InstancePermission; UnknownPermissionActionException]; [NoSuchPrincipalException]. LCC (Lack of Component Cohesion) = 0.45
temp,org.jsecurity.context.factory.support,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jsecurity.context.factory.support; org.jsecurity; org.jsecurity.authc.support
temp,org.jsecurity.context.support,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.jsecurity
temp,org.jsecurity,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jsecurity; org.jsecurity.authc.support
temp,org.jsecurity,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jsecurity; org.jsecurity.authc.support; org.jsecurity.context.factory.support
temp,org.jsecurity,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.jsecurity.authc.support; org.jsecurity.realm
temp,org.jsecurity.session,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ExpiredSessionException; StoppedSessionException; InvalidSessionException; SessionException; UnknownSessionException]; [Session]; [SessionFactory]; [SessionManager]. LCC (Lack of Component Cohesion) = 0.5
temp,org.jsecurity.session.support,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AbstractSessionManager; DefaultSessionManager; SessionValidationScheduler; SimpleSession; ValidatingSessionManager]; [DefaultSessionFactory; DelegatingSession]. LCC (Lack of Component Cohesion) = 0.29
temp,org.jsecurity.util,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ClassUtils; PermissionUtils; UnknownClassException; ConstructorAcquisitionException; PermissionInstantiationException]; [IntegerPrincipal]; [JSecurityTool]; [NamePrincipal; UsernamePrincipal]; [StringPrincipal]; [ThreadContext; ThreadUtils]; [UUIDPrincipal]. LCC (Lack of Component Cohesion) = 0.54
temp,org.apache.shiro.spring.config,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ShiroBeanConfigurationTest]; [ShiroConfigurationTest]; [ShiroConfigurationWithOptionalComponentsTest]; [ShiroEventBusAwareBeanPostProcessorTest]; [ShiroWebConfigurationTest]; [ShiroWebFilterConfigurationTest]; [FilterConfiguration]; [ExpectedTestFilter]. LCC (Lack of Component Cohesion) = 1.0
