Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
temp,org.jsecurity.samples.spring.ui,WebStartView,init,Magic Number,The method contains a magic number: 20,51
temp,org.jsecurity.samples.spring.ui,WebStartView,init,Magic Number,The method contains a magic number: 300,51
temp,org.jsecurity.samples.spring.ui,WebStartView,init,Magic Number,The method contains a magic number: 200,51
temp,org.jsecurity.samples.spring.ui,WebStartView,actionPerformed,Long Statement,The length of the statement "JOptionPane.showMessageDialog(frame`"Unauthorized to perform action: " + ae.getMessage()`"Unauthorized"`JOptionPane.WARNING_MESSAGE);" is 133.,101
temp,org.jsecurity.samples.spring.web,JnlpController,handleRequestInternal,Magic Number,The method contains a magic number: 80,44
temp,org.jsecurity.authc.event.support,SimpleAuthenticationEventSender,send,Complex Method,Cyclomatic complexity of the method is 9,59
temp,org.jsecurity.authc.event.support,SimpleAuthenticationEventSender,send,Long Statement,The length of the statement "String msg="Received argument of type [" + event.getClass() + "]. This "+ "implementation can only send event instances of types "+ SuccessfulAuthenticationEvent.class.getName()+ "` "+ FailedAuthenticationEvent.class.getName()+ "` "+ UnlockedAccountEvent.class.getName()+ "` or "+ LogoutEvent.class.getName();" is 309.,59
temp,org.jsecurity.authc.event.support,SimpleAuthenticationEventSender,send,Long Statement,The length of the statement "String msg="internal listeners collection is null. No " + "AuthenticationEventListeners will be notified of event [" + event + "]";" is 131.,59
temp,org.jsecurity.authc.support,AbstractAuthenticator,init,Long Statement,The length of the statement "throw new IllegalStateException("If an SecurityContextFactory is not injected` a realm manager must be " + "provided so that the default " + DelegatingSecurityContextFactory.class.getName() + " factory can be initialized.");" is 224.,249
temp,org.jsecurity.authc.support,AbstractAuthenticator,sendFailureEvent,Long Statement,The length of the statement "logger.debug("No AuthenticationEvent instance returned from " + "'createFailureEvent' method call. No failed authentication " + "event will be sent.");" is 151.,305
temp,org.jsecurity.authc.support,AbstractAuthenticator,sendSuccessEvent,Long Statement,The length of the statement "logger.debug("No AuthenticationEvent instance returned from " + "'createSuccessEvent' method call. No successful authentication " + "event will be sent.");" is 155.,339
temp,org.jsecurity.authc.support,AbstractAuthenticator,createSecurityContext,Long Statement,The length of the statement "throw new IllegalStateException("No security context factory is configured` so authentication cannot " + "be completed. Make sure the init() method is being called on the " + "authenticator before it is used.");" is 211.,403
temp,org.jsecurity.authc.support,AbstractAuthenticator,assertCreation,Long Statement,The length of the statement "String msg="Programming or configuration error - No SecurityContext was created after successful " + "authentication. Verify that you have either configured the " + getClass().getName() + " instance with a proper "+ SecurityContextFactory.class.getName()+ " (easier) or "+ "that you have overridden the "+ AbstractAuthenticator.class.getName()+ ".createSecurityContext( AuthenticationInfo info ) method.";" is 405.,436
temp,org.jsecurity.authc.support,AbstractAuthenticator,authenticate,Long Statement,The length of the statement "throw new AuthenticationException("Authentication token of type [" + token.getClass() + "] could not be processed for authentication. Check that "+ "the Authenticator is configured correctly.");" is 194.,447
temp,org.jsecurity.authc.support,ModularRealmAuthenticator,realmsComplete,Long Statement,The length of the statement "throw new AuthenticationException("Authentication token of type [" + authenticationToken.getClass() + "] "+ "could not be authenticated by any configured realms. Check that this authenticator is configured "+ "with appropriate realms.");" is 237.,144
temp,org.jsecurity.authc.support,ModularRealmAuthenticator,doAuthenticate,Complex Method,Cyclomatic complexity of the method is 9,177
temp,org.jsecurity.authc.support,ModularRealmAuthenticator,doAuthenticate,Long Statement,The length of the statement "logger.debug("Attempting to authenticate token [" + authenticationToken + "] "+ "using realm of type ["+ realm.getClass()+ "]");" is 128.,177
temp,org.jsecurity.authc.support,ModularRealmAuthenticator,doAuthenticate,Long Statement,The length of the statement "logger.debug("Realm of type [" + realm.getClass().getName() + "] does not support token "+ "of type ["+ authenticationToken.getClass().getName()+ "]. Skipping realm.");" is 168.,177
temp,org.jsecurity.authc.support,ModularRealmAuthenticator,doAuthenticate,Long Statement,The length of the statement "throw new AuthenticationException("Authentication token of type [" + authenticationToken.getClass() + "] "+ "could not be authenticated by any configured realms. Check that this authenticator is configured "+ "with appropriate realms.");" is 237.,177
temp,org.jsecurity.authc.support,SimpleAuthenticationInfo,SimpleAuthenticationInfo,Long Parameter List,The method has 5 parameters. ,104
temp,org.jsecurity.authz,InstancePermission,setActions,Complex Method,Cyclomatic complexity of the method is 10,151
temp,org.jsecurity.authz,InstancePermission,setActions,Long Statement,The length of the statement "String msg="Subclass implementation '" + getClass().getName() + " did not "+ "return a valid possibleActions Set from the getPossibleActions() "+ "method. A non-null and populated Set is required.";" is 198.,151
