Project Name,Package Name,Architecture Smell,Cause of the Smell
temp,org.apache.shiro.config.ogdl,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [CommonsInterpolatorTest]; [CompositeBean; SimpleBean]; [DefaultInterpolatorTest]; [InitializableBean]; [RecordingBeanListener]; [ReflectionBuilderTest]; [SimpleBeanFactory]. LCC (Lack of Component Cohesion) = 0.88
temp,org.apache.shiro.realm,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AuthenticatingRealmIntegrationTest]; [AuthenticatingRealmTest]; [TestAuthenticatingRealm]; [NoLookupAuthenticatingRealm]; [CachingRealmTest]; [TestCachingRealm]; [TestAuthenticatingRealm]. LCC (Lack of Component Cohesion) = 1.0
temp,org.apache.shiro.crypto.hash.format,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Base64FormatTest]; [DefaultHashFormatFactoryTest]; [HexFormatTest]; [ProvidedHashFormatTest]; [Shiro1CryptFormatTest]; [ToStringHashFormat]. LCC (Lack of Component Cohesion) = 1.0
temp,org.apache.shiro.event.support,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AnnotationEventListenerResolverTest]; [BarEvent; BazEvent; FooEvent; SubclassTestSubscriber; TestSubscriber; ErroneouslyAnnotatedSubscriber; ErrorCausingEvent; ExceptionThrowingSubscriber]; [DefaultEventBusTest]; [EventClassComparatorTest]; [EventListenerComparatorTest]; [InvalidMethodModifierSubscriber]; [NotAnnotatedSubscriber]; [SimpleEvent; SimpleSubscriber]; [SingleArgumentMethodEventListenerTest]. LCC (Lack of Component Cohesion) = 0.53
temp,org.jsecurity.samples.spring.web,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [IndexController; SessionValueCommand]; [JnlpController]; [LoginCommand; LoginController]; [LogoutController]. LCC (Lack of Component Cohesion) = 0.67
temp,org.jsecurity,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jsecurity; org.jsecurity.context
temp,org.jsecurity,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jsecurity; org.jsecurity.util; org.jsecurity.context
temp,org.jsecurity,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jsecurity; org.jsecurity.realm; org.jsecurity.util; org.jsecurity.context
temp,org.jsecurity,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jsecurity; org.jsecurity.realm; org.jsecurity.authz.permission; org.jsecurity.util; org.jsecurity.context
temp,org.jsecurity,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.jsecurity.authc.event; org.jsecurity.session.support
temp,org.jsecurity,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AbstractSecurityManager; CachingSecurityManager; RealmSecurityManager; SecurityManager; AuthenticatingSecurityManager; AuthorizingSecurityManager; SessionsSecurityManager; DefaultSecurityManager; ActiveDirectoryRealmTest; TestActiveDirectoryRealm; AuthorizingRealmTest; AllowAllRealm; CustomUsernamePrincipal; DefaultSecurityManagerTest; UserIdPrincipal; UsernamePrincipal]; [JSecurityException]; [SecurityUtils]; [AtUnitTest]. LCC (Lack of Component Cohesion) = 0.21
temp,org.jsecurity.aop,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.jsecurity
temp,org.jsecurity.authc.credential,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.jsecurity.crypto.hash
temp,org.jsecurity.authc.support,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jsecurity.authc.support; org.jsecurity.realm; org.jsecurity.util; org.jsecurity.context; org.jsecurity
temp,org.jsecurity.authz.permission,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jsecurity.authz.permission; org.jsecurity.util
temp,org.jsecurity.authz.permission,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jsecurity.authz.permission; org.jsecurity.util; org.jsecurity.context; org.jsecurity
temp,org.jsecurity.authz.permission,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jsecurity.authz.permission; org.jsecurity.util; org.jsecurity.context; org.jsecurity; org.jsecurity.realm
temp,org.jsecurity.authz.permission,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AllPermission]; [InvalidPermissionStringException]; [PermissionResolver; WildcardPermissionResolver; WildcardPermission; WildcardPermissionTest]. LCC (Lack of Component Cohesion) = 0.5
temp,org.jsecurity.cache,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Cache; HashtableCache; HashtableCacheProvider; CacheProvider; CacheProviderAware]; [CacheException]. LCC (Lack of Component Cohesion) = 0.33
temp,org.jsecurity.cache.ehcache,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jsecurity.cache.ehcache; org.jsecurity.session.support.eis; org.jsecurity.util; org.jsecurity.context; org.jsecurity
temp,org.jsecurity.cache.ehcache,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.jsecurity.session.support.eis
temp,org.jsecurity.codec,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Base64; CodecSupport; CodecException; DecoderException; EncoderException]; [BinaryCodec; BinaryDecoder; BinaryEncoder; Codec; Decoder; Encoder]; [Hex]. LCC (Lack of Component Cohesion) = 0.25
temp,org.jsecurity.context,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jsecurity.context; org.jsecurity
temp,org.jsecurity.context,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jsecurity.context; org.jsecurity; org.jsecurity.util
temp,org.jsecurity.context,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jsecurity.context; org.jsecurity; org.jsecurity.realm; org.jsecurity.util
temp,org.jsecurity.context,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jsecurity.context; org.jsecurity; org.jsecurity.realm; org.jsecurity.authz.permission; org.jsecurity.util
temp,org.jsecurity.context,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.jsecurity.crypto; org.jsecurity
temp,org.jsecurity.context,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AbstractRememberMeManager; RememberMeManager]; [DelegatingSecurityContext; InvalidSecurityContextException; SecurityContext; SecurityContextException]. LCC (Lack of Component Cohesion) = 0.33
temp,org.jsecurity.realm,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jsecurity.realm; org.jsecurity.util; org.jsecurity.context; org.jsecurity
temp,org.jsecurity.realm,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jsecurity.realm; org.jsecurity.authz.permission; org.jsecurity.util; org.jsecurity.context; org.jsecurity
temp,org.jsecurity.session,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ExpiredSessionException; StoppedSessionException; InvalidSessionException; SessionException; UnknownSessionException]; [Session]; [SessionFactory]; [SessionManager]. LCC (Lack of Component Cohesion) = 0.5
temp,org.jsecurity.session.support,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jsecurity.session.support; org.jsecurity.util; org.jsecurity.context; org.jsecurity
temp,org.jsecurity.session.support,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jsecurity.session.support; org.jsecurity.session.support.eis; org.jsecurity.util; org.jsecurity.context; org.jsecurity
temp,org.jsecurity.session.support.eis,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jsecurity.session.support.eis; org.jsecurity.util; org.jsecurity.context; org.jsecurity; org.jsecurity.cache.ehcache
temp,org.jsecurity.util,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jsecurity.util; org.jsecurity.authz.permission
temp,org.jsecurity.util,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jsecurity.util; org.jsecurity.context; org.jsecurity
temp,org.jsecurity.util,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jsecurity.util; org.jsecurity.context; org.jsecurity; org.jsecurity.realm
temp,org.jsecurity.util,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jsecurity.util; org.jsecurity.context; org.jsecurity; org.jsecurity.realm; org.jsecurity.authz.permission
