Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
temp,org.jsecurity.samples.spring.ui,WebStartView,afterPropertiesSet,Magic Number,The method contains a magic number: 20,81
temp,org.jsecurity.samples.spring.ui,WebStartView,afterPropertiesSet,Magic Number,The method contains a magic number: 300,81
temp,org.jsecurity.samples.spring.ui,WebStartView,afterPropertiesSet,Magic Number,The method contains a magic number: 200,81
temp,org.jsecurity.samples.spring.ui,WebStartView,actionPerformed,Long Statement,The length of the statement "JOptionPane.showMessageDialog(frame`"Unauthorized to perform action: " + ae.getMessage()`"Unauthorized"`JOptionPane.WARNING_MESSAGE);" is 133.,131
temp,org.jsecurity.samples.spring.web,JnlpController,handleRequestInternal,Magic Number,The method contains a magic number: 80,48
temp,org.jsecurity,AuthenticatingSecurityManager,getRequiredAuthenticator,Long Statement,The length of the statement "String msg="No authenticator attribute configured for this SecurityManager instance. Please ensure " + "the init() method is called prior to using this instance and a default one will be created.";" is 197.,94
temp,org.jsecurity,AuthenticatingSecurityManager,remove,Long Statement,The length of the statement "return (authc instanceof AuthenticationEventListenerRegistrar) && ((AuthenticationEventListenerRegistrar)authc).remove(listener);" is 129.,140
temp,org.jsecurity,AuthenticatingSecurityManager,assertAuthenticatorEventListenerSupport,Long Statement,The length of the statement "String msg="AuthenticationEventListener registration failed: The underlying Authenticator instance of " + "type [" + authc.getClass().getName() + "] does not implement the "+ AuthenticationEventListenerRegistrar.class.getName()+ " interface and therefore cannot support "+ "runtime registration of AuthenticationEventListeners.";" is 329.,160
temp,org.jsecurity,AuthenticatingSecurityManager,registerAnyAuthenticationEventListeners,Long Statement,The length of the statement "String msg="AuthenticationEventListeners collection property was configured` but the collection does " + "not contain any AuthenticationEventListener objects. This is considered a configuration error. " + "If you do not have any listener instances` do not set the property with an empty collection.";" is 300.,170
temp,org.jsecurity,AuthorizingSecurityManager,getRequiredAuthorizer,Long Statement,The length of the statement "String msg="No authorizer attribute configured for this SecurityManager instance. Please ensure " + "the init() method is called prior to using this instance and a default one will be created.";" is 194.,134
temp,org.jsecurity,CachingSecurityManager,createCacheProvider,Long Statement,The length of the statement "String msg="Instantiating default CacheProvider which will create in-memory HashTable caches. " + "This is NOT RECOMMENDED for production environments. Please ensure ehcache.jar is in the " + "classpath and JSecurity will automatically use a production-quality CacheProvider "+ "implementation` or you may alternatively provide your own via the #setCacheProvider method.";" is 372.,69
temp,org.jsecurity,DefaultSecurityManager,assertCreation,Long Statement,The length of the statement "String msg="Programming error - please verify that you have overridden the " + getClass().getName() + ".createSecurityContext( Account account ) method to return "+ "a non-null SecurityContext instance";" is 203.,190
temp,org.jsecurity,DefaultSecurityManager,rememberMeSuccessfulLogin,Long Statement,The length of the statement "String msg="Delegate RememberMeManager instance of type [" + rmm.getClass().getName() + "] threw an exception during onSuccessfulLogin. RememberMe services will not be "+ "performed for Account ["+ account+ "].";" is 212.,199
temp,org.jsecurity,DefaultSecurityManager,rememberMeSuccessfulLogin,Long Statement,The length of the statement "log.debug("This " + getClass().getName() + " instance does not have a "+ "["+ RememberMeManager.class.getName()+ "] instance configured. RememberMe services "+ "will not be performed for account ["+ account+ "].");" is 214.,199
temp,org.jsecurity,DefaultSecurityManager,rememberMeFailedLogin,Long Statement,The length of the statement "String msg="Delegate RememberMeManager instance of type [" + rmm.getClass().getName() + "] threw an exception during onFailedLogin for AuthenticationToken ["+ token+ "].";" is 171.,221
temp,org.jsecurity,DefaultSecurityManager,rememberMeLogout,Long Statement,The length of the statement "String msg="Delegate RememberMeManager instance of type [" + rmm.getClass().getName() + "] threw an exception during onLogout for subject with principals ["+ subjectPrincipals+ "]";" is 181.,237
temp,org.jsecurity,DefaultSecurityManager,getRememberedIdentity,Long Statement,The length of the statement "String msg="Delegate RememberMeManager instance of type [" + rmm.getClass().getName() + "] threw an exception during getRememberedIdentity().";" is 143.,299
temp,org.jsecurity,SessionsSecurityManager,ensureSessionFactory,Long Statement,The length of the statement "log.info("No delegate SessionFactory instance has been set as a property of this class. Creating a " + "default SessionFactory implementation...");" is 147.,118
temp,org.jsecurity,SessionsSecurityManager,assertSessionFactoryEventListenerSupport,Long Statement,The length of the statement "String msg="SessionEventListener registration failed: The underlying SessionFactory instance of " + "type [" + factory.getClass().getName() + "] does not implement the "+ SessionEventListenerRegistrar.class.getName()+ " interface and therefore cannot support "+ "runtime SessionEvent propagation.";" is 298.,161
temp,org.jsecurity,SessionsSecurityManager,remove,Long Statement,The length of the statement "return (this.sessionFactory instanceof SessionEventListenerRegistrar) && ((SessionEventListenerRegistrar)this.sessionFactory).remove(listener);" is 143.,177
temp,org.jsecurity,SessionsSecurityManager,registerAnySessionEventListeners,Long Statement,The length of the statement "String msg="SessionEventListeners collection property was configured` but the collection does " + "not contain any SessionEventListener objects. This is considered a configuration error. " + "If you do not have any listener instances` do not set the property with an empty collection.";" is 286.,182
