Project Name,Package Name,Architecture Smell,Cause of the Smell
temp,org.apache.shiro.config,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.shiro.config; org.apache.shiro.realm.text
temp,org.apache.shiro.config,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [IniTest]; [Configuration]; [ConfigurationException]; [Ini; IniSecurityManagerFactory; IniSecurityManagerFactoryTest; IniTest]; [Section]; [IniConfiguration]; [IniFactorySupport]; [ReflectionBuilder]; [ResourceConfiguration]; [TextConfiguration]; [UnresolveableReferenceException]; [CompositeBean; SimpleBean]; [ReflectionBuilderTest]; [IniSecurityManagerFactoryTest]; [MockPermissionResolver]. LCC (Lack of Component Cohesion) = 0.79
temp,org.apache.shiro.config.ogdl,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [CommonsInterpolatorTest]; [CompositeBean; SimpleBean]; [DefaultInterpolatorTest]; [InitializableBean]; [RecordingBeanListener]; [ReflectionBuilderTest]; [SimpleBeanFactory]. LCC (Lack of Component Cohesion) = 0.88
temp,org.apache.shiro.authc,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 31
temp,org.apache.shiro.authc,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AbstractAuthenticator]; [Account; AuthenticationInfo; MergableAuthenticationInfo]; [AccountException]; [AuthenticationException]; [AuthenticationListener; AbstractAuthenticatorTest]; [AuthenticationToken; RememberMeAuthenticationToken]; [Authenticator]; [ConcurrentAccessException]; [CredentialsException]; [DisabledAccountException]; [ExcessiveAttemptsException]; [ExpiredCredentialsException]; [HostAuthenticationToken]; [IncorrectCredentialsException]; [LockedAccountException]; [LogoutAware]; [SimpleAccount]; [SimpleAuthenticationInfo]; [UnknownAccountException]; [UsernamePasswordToken]; [ConcurrentAccessExceptionTest]; [ExcessiveAttemptsExceptionTest]; [ExpiredCredentialsExceptionTest]; [IncorrectCredentialsExceptionTest]; [LockedAccountExceptionTest]; [SimpleAuthenticationInfoTest]; [UnknownAccountExceptionTest]. LCC (Lack of Component Cohesion) = 0.87
temp,org.apache.shiro.authc.credential,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AllowAllCredentialsMatcher; CredentialsMatcher; AllowAllCredentialsMatcherTest]; [HashedCredentialsMatcher; Md2CredentialsMatcher; Md5CredentialsMatcher; Sha1CredentialsMatcher]; [Sha256CredentialsMatcher]; [Sha384CredentialsMatcher]; [Sha512CredentialsMatcher]; [SimpleCredentialsMatcher]; [HashedCredentialsMatcherTest; Md2CredentialsMatcherTest; Md5CredentialsMatcherTest; Sha1CredentialsMatcherTest]; [Sha256CredentialsMatcherTest]; [Sha384CredentialsMatcherTest]; [Sha512CredentialsMatcherTest]; [DefaultPasswordServiceTest]; [PasswordMatcherTest]. LCC (Lack of Component Cohesion) = 0.6
temp,org.apache.shiro.authc.pam,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AbstractAuthenticationStrategy]; [AllSuccessfulStrategy]; [AtLeastOneSuccessfulStrategy]; [AuthenticationStrategy]; [FirstSuccessfulStrategy]; [ModularRealmAuthenticator]; [UnsupportedTokenException]; [AllSuccessfulStrategyTest]; [ModularRealmAuthenticatorTest]; [LogoutAwareRealm]. LCC (Lack of Component Cohesion) = 1.0
temp,org.apache.shiro.authz.aop,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AnnotationsAuthorizingMethodInterceptor]; [AuthenticatedAnnotationHandler]; [AuthenticatedAnnotationMethodInterceptor]; [AuthorizingAnnotationHandler]; [AuthorizingAnnotationMethodInterceptor]; [AuthorizingMethodInterceptor]; [GuestAnnotationHandler]; [GuestAnnotationMethodInterceptor]; [PermissionAnnotationHandler]; [PermissionAnnotationMethodInterceptor]; [RoleAnnotationHandler]; [RoleAnnotationMethodInterceptor]; [UserAnnotationHandler]; [UserAnnotationMethodInterceptor]; [PermissionAnnotationHandlerTest]; [RoleAnnotationHandlerTest]. LCC (Lack of Component Cohesion) = 1.0
temp,org.apache.shiro.authz,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AuthorizationException]; [AuthorizationInfo]; [Authorizer]; [AuthorizingAccount]; [HostUnauthorizedException]; [ModularRealmAuthorizer]; [Permission]; [SimpleAuthorizationInfo]; [SimpleAuthorizingAccount]; [SimpleRole]; [UnauthenticatedException]; [UnauthorizedException]; [AuthorizationExceptionTest]; [HostUnauthorizedExceptionTest]; [ModularRealmAuthorizerTest]; [MockAuthorizingRealm]; [UnauthenticatedExceptionTest]; [UnauthorizedExceptionTest]. LCC (Lack of Component Cohesion) = 1.0
temp,org.apache.shiro.authz.permission,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AllPermission]; [DomainPermission]; [InvalidPermissionStringException]; [PermissionResolver]; [PermissionResolverAware]; [RolePermissionResolver]; [RolePermissionResolverAware]; [WildcardPermission]; [WildcardPermissionResolver]; [AllPermissionTest]; [WildcardPermissionTest]. LCC (Lack of Component Cohesion) = 1.0
