Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
temp,org.apache.shiro.config,Ini,load,Complex Conditional,The conditional expression line == null || line.startsWith(COMMENT_POUND) || line.startsWith(COMMENT_SEMICOLON) is complex.,226
temp,org.apache.shiro.config,Ini,hashCode,Magic Number,The method contains a magic number: 31,449
temp,org.apache.shiro.config,Section,hashCode,Magic Number,The method contains a magic number: 31,449
temp,org.apache.shiro.config,IniConfiguration,init,Long Statement,The length of the statement "throw new ConfigurationException("Shiro resource [" + configUrl + "] specified as a 'configUrl' "+ "cannot be found. If you want to fall back on default configuration specified "+ "via the 'config' parameter` then set 'ignoreResourceNotFound' to true.");" is 254.,92
temp,org.apache.shiro.config,IniConfiguration,createSecurityManagerForSection,Complex Method,Cyclomatic complexity of the method is 8,188
temp,org.apache.shiro.config,IniConfiguration,createSecurityManagerForSection,Empty catch clause,The method has an empty catch block.,188
temp,org.apache.shiro.config,IniFactorySupport,createInstance,Long Statement,The length of the statement "String msg=getClass().getName() + " implementation did not return a default instance in " + "the event of a null/empty Ini configuration. This is required to support the "+ "Factory interface. Please check your implementation.";" is 228.,98
temp,org.apache.shiro.config,IniFactorySupport,createInstance,Long Statement,The length of the statement "String msg=getClass().getName() + " implementation did not return a constructed instance from " + "the createInstance(Ini) method implementation.";" is 147.,98
temp,org.apache.shiro.config,IniSecurityManagerFactory,isAutoApplyRealms,Long Statement,The length of the statement "log.info("Realms have been explicitly set on the SecurityManager instance - auto-setting of " + "realms will not occur.");" is 122.,101
temp,org.apache.shiro.config,IniSecurityManagerFactory,assertRealmSecurityManager,Long Statement,The length of the statement "String msg="securityManager instance is not a " + RealmSecurityManager.class.getName() + " instance. This is required to access or configure realms on the instance.";" is 166.,216
temp,org.apache.shiro.config,IniSecurityManagerFactory,shouldImplicitlyCreateRealm,Long Statement,The length of the statement "return !CollectionUtils.isEmpty(ini) && (!CollectionUtils.isEmpty(ini.getSection(IniRealm.ROLES_SECTION_NAME)) || !CollectionUtils.isEmpty(ini.getSection(IniRealm.USERS_SECTION_NAME)));" is 185.,232
temp,org.apache.shiro.config,ReflectionBuilder,getBean,Long Statement,The length of the statement "throw new IllegalStateException("Bean with id [" + id + "] is not of the required type ["+ requiredType.getName()+ "].");" is 121.,79
temp,org.apache.shiro.config,ReflectionBuilder,createNewInstance,Long Statement,The length of the statement "log.info("An instance with name '{}' already exists. " + "Redefining this object as a new instance of type []"`name`value);" is 123.,128
temp,org.apache.shiro.config,ReflectionBuilder,createNewInstance,Long Statement,The length of the statement "String msg="Unable to instantiate class [" + value + "] for object named '"+ name+ "'. "+ "Please ensure you've specified the fully qualified class name correctly.";" is 165.,128
temp,org.apache.shiro.config,ReflectionBuilder,applyProperty,Long Statement,The length of the statement "throw new IllegalArgumentException("All property keys must contain a '.' character. " + "(e.g. myBean.property = value) These should already be separated out by buildObjects().");" is 179.,150
temp,org.apache.shiro.config,ReflectionBuilder,applyGlobalProperty,Long Statement,The length of the statement "String msg="Error retrieving property descriptor for instance " + "of type [" + instance.getClass().getName() + "] "+ "while setting property ["+ property+ "]";" is 160.,171
temp,org.apache.shiro.config,ReflectionBuilder,applySingleProperty,Long Statement,The length of the statement "throw new IllegalArgumentException("Property keys should not contain 'class' properties since these " + "should already be separated out by buildObjects().");" is 158.,187
temp,org.apache.shiro.config,ReflectionBuilder,applySingleProperty,Long Statement,The length of the statement "String msg="Configuration error. Specified object [" + name + "] with property ["+ property+ "] without first defining that object's class. Please first "+ "specify the class property first` e.g. myObject = fully_qualified_class_name "+ "and then define additional properties.";" is 278.,187
temp,org.apache.shiro.config,ReflectionBuilder,getReferencedObject,Long Statement,The length of the statement "String msg="The object with id [" + id + "] has not yet been defined and therefore cannot be "+ "referenced. Please ensure objects are defined in the order in which they should be "+ "created and made available for future reference.";" is 234.,213
temp,org.apache.shiro.config,ReflectionBuilder,unescapeIfNecessary,Long Identifier,The length of the field ESCAPED_OBJECT_REFERENCE_BEGIN_TOKEN is 36.,224
temp,org.apache.shiro.config,ReflectionBuilder,toMap,Long Statement,The length of the statement "String[] tokens=StringUtils.split(sValue`StringUtils.DEFAULT_DELIMITER_CHAR`StringUtils.DEFAULT_QUOTE_CHAR`StringUtils.DEFAULT_QUOTE_CHAR`true`true);" is 149.,267
temp,org.apache.shiro.config,ReflectionBuilder,toMap,Long Statement,The length of the statement "String msg="Map property value [" + sValue + "] contained key-value pair token ["+ token+ "] that does not properly split to a single key and pair. This must be the "+ "case for all map entries.";" is 196.,267
temp,org.apache.shiro.config,ReflectionBuilder,toMap,Magic Number,The method contains a magic number: 2,267
temp,org.apache.shiro.config,ReflectionBuilder,applyProperty,Long Statement,The length of the statement "log.trace("Applying property [{}] value [{}] on object of type [{}]"`new Object[]{propertyName`value`object.getClass().getName()});" is 131.,338
temp,org.apache.shiro.config,ReflectionBuilder,applyProperty,Long Statement,The length of the statement "String msg="Unable to set property [" + propertyName + "] with value ["+ stringValue+ "]. If "+ "'"+ stringValue+ "' is a reference to another (previously defined) object` please prefix it with "+ "'"+ OBJECT_REFERENCE_BEGIN_TOKEN+ "' to indicate that the referenced "+ "object should be used as the actual value. "+ "For example` "+ OBJECT_REFERENCE_BEGIN_TOKEN+ stringValue;" is 376.,338
temp,org.apache.shiro.config,IniSecurityManagerFactoryTest,testGetInstanceWithSimpleIni,Long Statement,The length of the statement "ini.setSectionProperty(IniSecurityManagerFactory.MAIN_SECTION_NAME`"securityManager.sessionManager.globalSessionTimeout"`"5000");" is 129.,71
temp,org.apache.shiro.config,IniSecurityManagerFactoryTest,testGetInstanceWithSimpleIni,Magic Number,The method contains a magic number: 5000,71
temp,org.apache.shiro.config,IniTest,testNoSections,Magic Number,The method contains a magic number: 2,35
temp,org.apache.shiro.config,IniTest,testOneSection,Long Statement,The length of the statement "String test=NL + "" + NL+ " "+ NL+ " # comment1 "+ NL+ " ; comment 2"+ NL+ "["+ sectionName+ "]"+ NL+ "prop1 = value1"+ NL+ " "+ NL+ "; comment "+ NL+ "prop2 value2"+ NL+ "prop3:value3"+ NL+ "prop4 : value 4"+ NL+ "prop5 some long \\"+ NL+ " value "+ NL+ "# comment.";" is 268.,55
temp,org.apache.shiro.config,IniTest,testOneSection,Magic Number,The method contains a magic number: 5,55
temp,org.apache.shiro.config,ReflectionBuilderTest,testSimpleConfig,Magic Number,The method contains a magic number: 42,37
temp,org.apache.shiro.config,ReflectionBuilderTest,testObjectReferenceConfig,Magic Number,The method contains a magic number: 101,68
