Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
temp,org.apache.shiro.config,IniTest,0,0,11,11,25,11,0,0,-1.0,0,0,C:\Users\qurra\temp\temp\config\core\target\generated-sources\groovy-stubs\test\org\apache\shiro\config\IniTest.java,11
temp,org.apache.shiro.config,Configuration,0,0,0,0,8,0,0,0,-1.0,0,0,C:\Users\qurra\temp\temp\core\src\main\java\org\apache\shiro\config\Configuration.java,24
temp,org.apache.shiro.config,ConfigurationException,0,0,4,4,35,4,0,0,-1.0,0,0,C:\Users\qurra\temp\temp\core\src\main\java\org\apache\shiro\config\ConfigurationException.java,24
temp,org.apache.shiro.config,Ini,10,6,56,47,348,83,0,0,0.19642857142857142,10,4,C:\Users\qurra\temp\temp\core\src\main\java\org\apache\shiro\config\Ini.java,30
temp,org.apache.shiro.config,Section,2,0,19,16,82,24,0,0,0.10526315789473684,0,0,C:\Users\qurra\temp\temp\core\src\main\java\org\apache\shiro\config\Ini.java,351
temp,org.apache.shiro.config,IniConfiguration,7,3,17,7,162,30,0,0,0.6470588235294118,0,2,C:\Users\qurra\temp\temp\core\src\main\java\org\apache\shiro\config\IniConfiguration.java,38
temp,org.apache.shiro.config,IniFactorySupport,3,1,9,4,76,15,0,0,0.4444444444444444,1,2,C:\Users\qurra\temp\temp\core\src\main\java\org\apache\shiro\config\IniFactorySupport.java,28
temp,org.apache.shiro.config,IniSecurityManagerFactory,5,3,20,4,165,38,0,0,0.75,3,7,C:\Users\qurra\temp\temp\core\src\main\java\org\apache\shiro\config\IniSecurityManagerFactory.java,36
temp,org.apache.shiro.config,ReflectionBuilder,7,0,23,7,263,58,0,0,0.391304347826087,0,5,C:\Users\qurra\temp\temp\core\src\main\java\org\apache\shiro\config\ReflectionBuilder.java,36
temp,org.apache.shiro.config,ResourceConfiguration,1,0,5,4,19,5,0,0,0.8,0,0,C:\Users\qurra\temp\temp\core\src\main\java\org\apache\shiro\config\ResourceConfiguration.java,27
temp,org.apache.shiro.config,TextConfiguration,2,0,7,4,44,9,0,0,0.7142857142857143,0,0,C:\Users\qurra\temp\temp\core\src\main\java\org\apache\shiro\config\TextConfiguration.java,33
temp,org.apache.shiro.config,UnresolveableReferenceException,0,0,4,4,35,4,0,0,-1.0,0,0,C:\Users\qurra\temp\temp\core\src\main\java\org\apache\shiro\config\UnresolveableReferenceException.java,21
temp,org.apache.shiro.config,CompositeBean,8,0,17,17,64,17,0,0,0.5294117647058824,0,1,C:\Users\qurra\temp\temp\core\src\test\java\org\apache\shiro\config\CompositeBean.java,26
