Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
temp,org.apache.shiro.cache,AbstractCacheManager,toString,Long Statement,The length of the statement "StringBuilder sb=new StringBuilder(getClass().getSimpleName()).append(" with ").append(caches.size()).append(" cache(s)): [");" is 126.,103
temp,org.apache.shiro.config,Ini,load,Complex Conditional,The conditional expression line == null || line.startsWith(COMMENT_POUND) || line.startsWith(COMMENT_SEMICOLON) is complex.,369
temp,org.apache.shiro.config,Ini,isContinued,Magic Number,The method contains a magic number: 2,541
temp,org.apache.shiro.config,Ini,splitKeyValue,Complex Conditional,The conditional expression valueBuffer.length() == 0 && isKeyValueSeparatorChar(c) && !isCharEscaped(line`i) is complex.,568
temp,org.apache.shiro.config,Ini,splitKeyValue,Complex Method,Cyclomatic complexity of the method is 8,568
temp,org.apache.shiro.config,Ini,hashCode,Magic Number,The method contains a magic number: 31,702
temp,org.apache.shiro.config,Section,isContinued,Magic Number,The method contains a magic number: 2,541
temp,org.apache.shiro.config,Section,splitKeyValue,Complex Conditional,The conditional expression valueBuffer.length() == 0 && isKeyValueSeparatorChar(c) && !isCharEscaped(line`i) is complex.,568
temp,org.apache.shiro.config,Section,splitKeyValue,Complex Method,Cyclomatic complexity of the method is 8,568
temp,org.apache.shiro.config,Section,hashCode,Magic Number,The method contains a magic number: 31,702
temp,org.apache.shiro.config,ReflectionBuilder,getBean,Long Statement,The length of the statement "Assert.state(requiredType.isAssignableFrom(bean.getClass())`"Bean with id [" + id + "] is not of the required type ["+ requiredType.getName()+ "].");" is 149.,242
temp,org.apache.shiro.config,ReflectionBuilder,createNewInstance,Long Statement,The length of the statement "log.info("An instance with name '{}' already exists. " + "Redefining this object as a new instance of type {}"`name`value);" is 123.,320
temp,org.apache.shiro.config,ReflectionBuilder,createNewInstance,Long Statement,The length of the statement "String msg="Unable to instantiate class [" + value + "] for object named '"+ name+ "'. "+ "Please ensure you've specified the fully qualified class name correctly.";" is 165.,320
temp,org.apache.shiro.config,ReflectionBuilder,applyProperty,Long Statement,The length of the statement "throw new IllegalArgumentException("All property keys must contain a '.' character. " + "(e.g. myBean.property = value) These should already be separated out by buildObjects().");" is 179.,342
temp,org.apache.shiro.config,ReflectionBuilder,applyGlobalProperty,Long Statement,The length of the statement "String msg="Error retrieving property descriptor for instance " + "of type [" + instance.getClass().getName() + "] "+ "while setting property ["+ property+ "]";" is 160.,362
temp,org.apache.shiro.config,ReflectionBuilder,applySingleProperty,Long Statement,The length of the statement "throw new IllegalArgumentException("Property keys should not contain 'class' properties since these " + "should already be separated out by buildObjects().");" is 158.,378
temp,org.apache.shiro.config,ReflectionBuilder,applySingleProperty,Long Statement,The length of the statement "String msg="Configuration error. Specified object [" + name + "] with property ["+ property+ "] without first defining that object's class. Please first "+ "specify the class property first` e.g. myObject = fully_qualified_class_name "+ "and then define additional properties.";" is 278.,378
temp,org.apache.shiro.config,ReflectionBuilder,getReferencedObject,Long Statement,The length of the statement "String msg="The object with id [" + id + "] has not yet been defined and therefore cannot be "+ "referenced. Please ensure objects are defined in the order in which they should be "+ "created and made available for future reference.";" is 234.,404
temp,org.apache.shiro.config,ReflectionBuilder,unescapeIfNecessary,Long Identifier,The length of the field ESCAPED_OBJECT_REFERENCE_BEGIN_TOKEN is 36.,415
temp,org.apache.shiro.config,ReflectionBuilder,toMap,Long Statement,The length of the statement "String[] tokens=StringUtils.split(sValue`StringUtils.DEFAULT_DELIMITER_CHAR`StringUtils.DEFAULT_QUOTE_CHAR`StringUtils.DEFAULT_QUOTE_CHAR`true`true);" is 149.,479
