Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
temp,org.apache.shiro.cache,AbstractCacheManager,1,0,5,4,71,12,0,0,0.4,0,2,C:\Users\qurra\temp\temp\cache\src\main\java\org\apache\shiro\cache\AbstractCacheManager.java,29
temp,org.apache.shiro.cache,Cache,0,0,7,7,48,7,0,0,-1.0,0,0,C:\Users\qurra\temp\temp\cache\src\main\java\org\apache\shiro\cache\Cache.java,24
temp,org.apache.shiro.cache,CacheException,0,0,4,4,34,4,0,0,-1.0,0,0,C:\Users\qurra\temp\temp\cache\src\main\java\org\apache\shiro\cache\CacheException.java,24
temp,org.apache.shiro.cache,CacheManager,0,0,1,1,13,1,0,0,-1.0,0,0,C:\Users\qurra\temp\temp\cache\src\main\java\org\apache\shiro\cache\CacheManager.java,21
temp,org.apache.shiro.cache,CacheManagerAware,0,0,1,0,11,1,0,0,-1.0,0,0,C:\Users\qurra\temp\temp\cache\src\main\java\org\apache\shiro\cache\CacheManagerAware.java,21
temp,org.apache.shiro.cache,MapCache,2,0,9,9,56,13,0,0,0.0,0,0,C:\Users\qurra\temp\temp\cache\src\main\java\org\apache\shiro\cache\MapCache.java,26
temp,org.apache.shiro.cache,MemoryConstrainedCacheManager,0,0,1,0,14,1,0,0,-1.0,1,0,C:\Users\qurra\temp\temp\cache\src\main\java\org\apache\shiro\cache\MemoryConstrainedCacheManager.java,23
temp,org.apache.shiro.config,ConfigurationException,0,0,4,4,34,4,0,0,-1.0,0,0,C:\Users\qurra\temp\temp\config\core\src\main\java\org\apache\shiro\config\ConfigurationException.java,24
temp,org.apache.shiro.config,Ini,11,6,60,48,511,103,0,0,0.23333333333333334,21,3,C:\Users\qurra\temp\temp\config\core\src\main\java\org\apache\shiro\config\Ini.java,38
temp,org.apache.shiro.config,Section,2,0,24,16,172,42,0,0,0.2916666666666667,0,1,C:\Users\qurra\temp\temp\config\core\src\main\java\org\apache\shiro\config\Ini.java,500
temp,org.apache.shiro.config,ResourceConfigurable,0,0,2,0,16,2,0,0,-1.0,1,0,C:\Users\qurra\temp\temp\config\core\src\main\java\org\apache\shiro\config\ResourceConfigurable.java,21
temp,org.apache.shiro.config,IniTest,0,0,11,11,25,11,0,0,-1.0,0,0,C:\Users\qurra\temp\temp\config\core\target\generated-sources\groovy-stubs\test\org\apache\shiro\config\IniTest.java,11
temp,org.apache.shiro.config,CommonsInterpolator,1,0,3,3,20,3,0,1,0.0,0,0,C:\Users\qurra\temp\temp\config\ogdl\src\main\java\org\apache\shiro\config\CommonsInterpolator.java,26
temp,org.apache.shiro.config,DefaultInterpolator,0,0,1,1,14,1,0,1,-1.0,0,0,C:\Users\qurra\temp\temp\config\ogdl\src\main\java\org\apache\shiro\config\DefaultInterpolator.java,21
temp,org.apache.shiro.config,Interpolator,0,0,1,0,12,1,2,0,-1.0,0,0,C:\Users\qurra\temp\temp\config\ogdl\src\main\java\org\apache\shiro\config\Interpolator.java,21
temp,org.apache.shiro.config,ReflectionBuilder,30,0,69,25,743,161,0,0,0.2463768115942029,0,8,C:\Users\qurra\temp\temp\config\ogdl\src\main\java\org\apache\shiro\config\ReflectionBuilder.java,56
temp,org.apache.shiro.config,BeanConfigurationProcessor,2,0,2,2,49,11,0,0,0.0,0,1,C:\Users\qurra\temp\temp\config\ogdl\src\main\java\org\apache\shiro\config\ReflectionBuilder.java,767
temp,org.apache.shiro.config,BeanConfiguration,4,0,8,6,51,11,0,0,0.375,0,0,C:\Users\qurra\temp\temp\config\ogdl\src\main\java\org\apache\shiro\config\ReflectionBuilder.java,842
temp,org.apache.shiro.config,Statement,6,0,9,6,45,12,0,0,0.2222222222222222,0,1,C:\Users\qurra\temp\temp\config\ogdl\src\main\java\org\apache\shiro\config\ReflectionBuilder.java,906
temp,org.apache.shiro.config,InstantiationStatement,0,0,2,0,15,2,0,0,-1.0,0,0,C:\Users\qurra\temp\temp\config\ogdl\src\main\java\org\apache\shiro\config\ReflectionBuilder.java,962
temp,org.apache.shiro.config,AssignmentStatement,1,0,3,1,17,3,0,0,0.0,0,0,C:\Users\qurra\temp\temp\config\ogdl\src\main\java\org\apache\shiro\config\ReflectionBuilder.java,987
temp,org.apache.shiro.config,UnresolveableReferenceException,0,0,4,4,34,4,0,0,-1.0,0,0,C:\Users\qurra\temp\temp\config\ogdl\src\main\java\org\apache\shiro\config\UnresolveableReferenceException.java,21
temp,org.apache.shiro.config,IniFactorySupport,4,1,11,5,93,17,0,0,0.45454545454545453,2,2,C:\Users\qurra\temp\temp\core\src\main\java\org\apache\shiro\config\IniFactorySupport.java,31
temp,org.apache.shiro.config,IniSecurityManagerFactory,5,3,22,7,184,41,0,0,0.7272727272727273,3,7,C:\Users\qurra\temp\temp\core\src\main\java\org\apache\shiro\config\IniSecurityManagerFactory.java,41
temp,org.apache.shiro.config,HashMapCacheManager,0,0,2,1,14,2,0,0,-1.0,0,0,C:\Users\qurra\temp\temp\core\src\test\java\org\apache\shiro\config\HashMapCacheManager.java,28
temp,org.apache.shiro.config,HashMapCache,0,0,1,1,5,1,0,0,-1.0,0,0,C:\Users\qurra\temp\temp\core\src\test\java\org\apache\shiro\config\HashMapCacheManager.java,43
temp,org.apache.shiro.config,IniSecurityManagerFactoryTest,0,0,11,11,25,11,0,0,-1.0,0,0,C:\Users\qurra\temp\temp\core\target\generated-sources\groovy-stubs\test\org\apache\shiro\config\IniSecurityManagerFactoryTest.java,10
temp,org.apache.shiro.config,MockPermissionResolver,0,0,6,6,18,6,0,0,-1.0,0,0,C:\Users\qurra\temp\temp\core\target\generated-sources\groovy-stubs\test\org\apache\shiro\config\MockPermissionResolver.java,9
temp,org.apache.shiro.config.event,BeanEvent,3,0,4,4,23,4,4,1,0.0,1,0,C:\Users\qurra\temp\temp\config\ogdl\src\main\java\org\apache\shiro\config\event\BeanEvent.java,25
temp,org.apache.shiro.config.event,ConfiguredBeanEvent,0,0,1,1,13,1,0,2,-1.0,0,0,C:\Users\qurra\temp\temp\config\ogdl\src\main\java\org\apache\shiro\config\event\ConfiguredBeanEvent.java,23
temp,org.apache.shiro.config.event,DestroyedBeanEvent,0,0,1,1,13,1,0,2,-1.0,0,0,C:\Users\qurra\temp\temp\config\ogdl\src\main\java\org\apache\shiro\config\event\DestroyedBeanEvent.java,23
temp,org.apache.shiro.config.event,InitializedBeanEvent,0,0,1,1,13,1,0,2,-1.0,0,0,C:\Users\qurra\temp\temp\config\ogdl\src\main\java\org\apache\shiro\config\event\InitializedBeanEvent.java,23
temp,org.apache.shiro.config.event,InstantiatedBeanEvent,0,0,1,1,13,1,0,2,-1.0,0,0,C:\Users\qurra\temp\temp\config\ogdl\src\main\java\org\apache\shiro\config\event\InstantiatedBeanEvent.java,23
temp,org.apache.shiro.config.event,LoggingBeanEventListener,2,0,1,1,14,1,0,0,0.0,0,1,C:\Users\qurra\temp\temp\config\ogdl\src\main\java\org\apache\shiro\config\event\LoggingBeanEventListener.java,25
temp,org.apache.shiro.config.ogdl,CommonsInterpolatorTest,1,1,3,3,10,3,0,0,1.0,0,0,C:\Users\qurra\temp\temp\config\ogdl\target\generated-sources\groovy-stubs\test\org\apache\shiro\config\ogdl\CommonsInterpolatorTest.java,11
temp,org.apache.shiro.config.ogdl,CompositeBean,0,0,27,27,69,27,0,0,-1.0,1,2,C:\Users\qurra\temp\temp\config\ogdl\target\generated-sources\groovy-stubs\test\org\apache\shiro\config\ogdl\CompositeBean.java,9
temp,org.apache.shiro.config.ogdl,DefaultInterpolatorTest,0,0,3,3,9,3,0,0,-1.0,0,0,C:\Users\qurra\temp\temp\config\ogdl\target\generated-sources\groovy-stubs\test\org\apache\shiro\config\ogdl\DefaultInterpolatorTest.java,11
temp,org.apache.shiro.config.ogdl,InitializableBean,0,0,5,5,14,5,0,0,-1.0,0,0,C:\Users\qurra\temp\temp\config\ogdl\target\generated-sources\groovy-stubs\test\org\apache\shiro\config\ogdl\InitializableBean.java,9
temp,org.apache.shiro.config.ogdl,RecordingBeanListener,0,0,12,12,32,12,0,0,-1.0,0,0,C:\Users\qurra\temp\temp\config\ogdl\target\generated-sources\groovy-stubs\test\org\apache\shiro\config\ogdl\RecordingBeanListener.java,10
temp,org.apache.shiro.config.ogdl,ReflectionBuilderTest,0,0,40,40,83,40,0,0,-1.0,0,0,C:\Users\qurra\temp\temp\config\ogdl\target\generated-sources\groovy-stubs\test\org\apache\shiro\config\ogdl\ReflectionBuilderTest.java,11
temp,org.apache.shiro.config.ogdl,SimpleBean,0,0,20,20,51,20,0,0,-1.0,1,0,C:\Users\qurra\temp\temp\config\ogdl\target\generated-sources\groovy-stubs\test\org\apache\shiro\config\ogdl\SimpleBean.java,9
