Project Name,Package Name,Architecture Smell,Cause of the Smell
temp,org.apache.shiro.config.ogdl,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [CommonsInterpolatorTest]; [CompositeBean; SimpleBean]; [DefaultInterpolatorTest]; [InitializableBean]; [RecordingBeanListener]; [ReflectionBuilderTest]; [SimpleBeanFactory]. LCC (Lack of Component Cohesion) = 0.88
temp,org.apache.shiro.realm,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AuthenticatingRealmIntegrationTest]; [AuthenticatingRealmTest]; [TestAuthenticatingRealm]; [NoLookupAuthenticatingRealm]; [CachingRealmTest]; [TestCachingRealm]; [TestAuthenticatingRealm]. LCC (Lack of Component Cohesion) = 1.0
temp,org.apache.shiro.crypto.hash.format,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Base64FormatTest]; [DefaultHashFormatFactoryTest]; [HexFormatTest]; [ProvidedHashFormatTest]; [Shiro1CryptFormatTest]; [ToStringHashFormat]. LCC (Lack of Component Cohesion) = 1.0
temp,org.apache.shiro.event.support,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AnnotationEventListenerResolverTest]; [BarEvent; BazEvent; FooEvent; SubclassTestSubscriber; TestSubscriber; ErroneouslyAnnotatedSubscriber; ErrorCausingEvent; ExceptionThrowingSubscriber]; [DefaultEventBusTest]; [EventClassComparatorTest]; [EventListenerComparatorTest]; [InvalidMethodModifierSubscriber]; [NotAnnotatedSubscriber]; [SimpleEvent; SimpleSubscriber]; [SingleArgumentMethodEventListenerTest]. LCC (Lack of Component Cohesion) = 0.53
temp,org.jsecurity.samples.spring.web,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [IndexController; SessionValueCommand]; [JnlpController]; [LoginCommand; LoginController]; [LogoutController]. LCC (Lack of Component Cohesion) = 0.67
temp,org.jsecurity.samples.sprhib.party.eis,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jsecurity.samples.sprhib.party.eis; org.jsecurity.samples.sprhib.party; org.jsecurity.samples.sprhib.security
temp,org.jsecurity.samples.sprhib.party.eis,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.jsecurity.samples.sprhib.party
temp,org.jsecurity.samples.sprhib.party,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jsecurity.samples.sprhib.party; org.jsecurity.samples.sprhib.security
temp,org.jsecurity.samples.sprhib.party,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jsecurity.samples.sprhib.party; org.jsecurity.samples.sprhib.security; org.jsecurity.samples.sprhib.party.eis
temp,org.jsecurity.samples.sprhib.party,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.jsecurity.samples.sprhib.security
temp,org.jsecurity.samples.sprhib.security,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jsecurity.samples.sprhib.security; org.jsecurity.samples.sprhib.party
temp,org.jsecurity.samples.sprhib.security,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jsecurity.samples.sprhib.security; org.jsecurity.samples.sprhib.party.eis; org.jsecurity.samples.sprhib.party
temp,org.jsecurity.aop,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.jsecurity
temp,org.jsecurity.authc,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jsecurity.authc; org.jsecurity.authc.event.mgt
temp,org.jsecurity.authc,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jsecurity.authc; org.jsecurity.authc.event.mgt; org.jsecurity.subject
temp,org.jsecurity.authc,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jsecurity.authc; org.jsecurity.authc.event.mgt; org.jsecurity.subject; org.jsecurity.mgt
temp,org.jsecurity.authc,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.jsecurity.authc.event.mgt; org.jsecurity.authc.event; org.jsecurity.subject
temp,org.jsecurity.authc,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AbstractAuthenticator; Account; AuthenticationException; AuthenticationToken; Authenticator; CredentialsException; ExpiredCredentialsException; IncorrectCredentialsException; InetAuthenticationToken; LogoutAware; RememberMeAuthenticationToken; SimpleAccount; UsernamePasswordToken; AccountException; ConcurrentAccessException; DisabledAccountException; ExcessiveAttemptsException; LockedAccountException; UnknownAccountException]; [ConcurrentAccessExceptionTest]; [ExcessiveAttemptsExceptionTest]; [ExpiredCredentialsExceptionTest]; [IncorrectCredentialsExceptionTest]; [LockedAccountExceptionTest]; [UnknownAccountExceptionTest]. LCC (Lack of Component Cohesion) = 0.28
temp,org.jsecurity.authc.credential,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jsecurity.authc.credential; org.jsecurity.util; org.jsecurity.mgt; org.jsecurity.realm
temp,org.jsecurity.authc.credential,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jsecurity.authc.credential; org.jsecurity.authc; org.jsecurity.subject; org.jsecurity.mgt; org.jsecurity.realm
temp,org.jsecurity.authc.credential,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.jsecurity.crypto.hash
temp,org.jsecurity.authc.event,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jsecurity.authc.event; org.jsecurity.authc
temp,org.jsecurity.authc.event,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jsecurity.authc.event; org.jsecurity.authc; org.jsecurity.authc.event.mgt
temp,org.jsecurity.authc.event.mgt,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jsecurity.authc.event.mgt; org.jsecurity.authc
temp,org.jsecurity.authc.event.mgt,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jsecurity.authc.event.mgt; org.jsecurity.subject; org.jsecurity.authc
temp,org.jsecurity.authc.pam,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jsecurity.authc.pam; org.jsecurity.subject; org.jsecurity.mgt
temp,org.jsecurity.authc.pam,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jsecurity.authc.pam; org.jsecurity.authc; org.jsecurity.subject; org.jsecurity.mgt
temp,org.jsecurity.authc.pam,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jsecurity.authc.pam; org.jsecurity.authc; org.jsecurity.authc.event.mgt; org.jsecurity.subject; org.jsecurity.mgt
temp,org.jsecurity.authz,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jsecurity.authz; org.jsecurity.subject
temp,org.jsecurity.authz,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jsecurity.authz; org.jsecurity.subject; org.jsecurity.mgt
temp,org.jsecurity.authz,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jsecurity.authz; org.jsecurity.subject; org.jsecurity.io; org.jsecurity.util; org.jsecurity.authz.permission
temp,org.jsecurity.authz,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.jsecurity.authz.permission
temp,org.jsecurity.authz,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AuthorizationException; MissingAccountException; UnauthenticatedException; UnauthorizedException; UnsupportedAccountException; Authorizer; ModularRealmAuthorizer; Permission; SimpleAuthorizingAccount; SimpleRole; AuthorizingAccount; HostUnauthorizedException]; [AuthorizationExceptionTest]; [HostUnauthorizedExceptionTest]; [MissingAccountExceptionTest]; [UnauthenticatedExceptionTest]; [UnauthorizedExceptionTest]; [UnsupportedAccountExceptionTest]. LCC (Lack of Component Cohesion) = 0.39
temp,org.jsecurity.authz.permission,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jsecurity.authz.permission; org.jsecurity.authz
temp,org.jsecurity.authz.permission,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jsecurity.authz.permission; org.jsecurity.util; org.jsecurity.mgt
temp,org.jsecurity.authz.permission,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jsecurity.authz.permission; org.jsecurity.authz; org.jsecurity.subject; org.jsecurity.mgt
