Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
temp,org.jsecurity.samples.spring,DefaultSampleManager,getValue,Long Statement,The length of the statement "log.debug("retrieving session key [" + VALUE_KEY + "] with value ["+ value+ "] on session with id ["+ session.getId()+ "]");" is 124.,61
temp,org.jsecurity.samples.spring,DefaultSampleManager,setValue,Long Statement,The length of the statement "log.debug("saving session key [" + VALUE_KEY + "] with value ["+ newValue+ "] on session with id ["+ session.getId()+ "]");" is 123.,76
temp,org.jsecurity.samples.spring.ui,WebStartView,afterPropertiesSet,Magic Number,The method contains a magic number: 20,76
temp,org.jsecurity.samples.spring.ui,WebStartView,afterPropertiesSet,Magic Number,The method contains a magic number: 500,76
temp,org.jsecurity.samples.spring.ui,WebStartView,afterPropertiesSet,Magic Number,The method contains a magic number: 200,76
temp,org.jsecurity.samples.spring.ui,WebStartView,actionPerformed,Long Statement,The length of the statement "JOptionPane.showMessageDialog(frame`"Unauthorized to perform action: " + ae.getMessage()`"Unauthorized"`JOptionPane.WARNING_MESSAGE);" is 133.,130
temp,org.jsecurity.samples.spring.web,JnlpController,handleRequestInternal,Magic Number,The method contains a magic number: 80,66
temp,org.jsecurity.samples.sprhib.eis.hibernate,GenericEnumUserType,nullSafeGet,Long Statement,The length of the statement "String msg="Exception while invoking valueOfMethod [" + valueOfMethod.getName() + "] of Enum class ["+ enumClass.getName()+ "] with argument of type ["+ identifier.getClass().getName()+ "]` value=["+ identifier+ "]";" is 216.,141
temp,org.jsecurity.samples.sprhib.eis.hibernate,GenericEnumUserType,nullSafeSet,Long Statement,The length of the statement "String msg="Exception while invoking identifierMethod [" + identifierMethod.getName() + "] of Enum class ["+ enumClass.getName()+ "] with argument of type ["+ value.getClass().getName()+ "]` value=["+ value+ "]";" is 212.,157
temp,org.jsecurity.samples.sprhib.party,Person,onEquals,Long Statement,The length of the statement "return (givenName == null ? p.getGivenName() == null : givenName.equals(p.getGivenName())) && (surname == null ? p.getSurname() == null : surname.equals(p.getSurname())) && (middleNames == null ? p.getMiddleNames() == null : middleNames.equals(p.getMiddleNames()))&& (dateOfBirth == null ? p.getDateOfBirth() == null : dateOfBirth.equals(p.getDateOfBirth()))&& (gender == null ? p.getGender() == null : gender.equals(p.getGender()))&& (nameSalutation == null ? p.getNameSalutation() == null : nameSalutation.equals(p.getNameSalutation()))&& (nameSuffix == null ? p.getNameSuffix() == null : nameSuffix.equals(p.getNameSuffix()))&& (title == null ? p.getTitle() == null : title.equals(p.getTitle()));" is 699.,194
