Project Name,Package Name,Architecture Smell,Cause of the Smell
temp,org.apache.shiro.config.ogdl,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [CommonsInterpolatorTest]; [CompositeBean; SimpleBean]; [DefaultInterpolatorTest]; [InitializableBean]; [RecordingBeanListener]; [ReflectionBuilderTest]; [SimpleBeanFactory]. LCC (Lack of Component Cohesion) = 0.88
temp,org.apache.ki.authc,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 31
temp,org.apache.ki.authc,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.ki.authc; org.apache.ki.subject
temp,org.apache.ki.authc,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.ki.authc; org.apache.ki.subject; org.apache.ki.mgt
temp,org.apache.ki.authc,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.apache.ki.subject; org.apache.ki.authz
temp,org.apache.ki.authc,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AbstractAuthenticator; AuthenticationException; AuthenticationInfo; AuthenticationListener; AuthenticationListenerRegistrar; AuthenticationToken; Authenticator; CredentialsException; ExpiredCredentialsException; IncorrectCredentialsException; InetAuthenticationToken; LogoutAware; MergableAuthenticationInfo; RememberMeAuthenticationToken; SimpleAccount; SimpleAuthenticationInfo; UsernamePasswordToken; SimpleAuthenticationInfoTest; Account; AccountException; ConcurrentAccessException; DisabledAccountException; ExcessiveAttemptsException; LockedAccountException; UnknownAccountException]; [ConcurrentAccessExceptionTest]; [ExcessiveAttemptsExceptionTest]; [ExpiredCredentialsExceptionTest]; [IncorrectCredentialsExceptionTest]; [LockedAccountExceptionTest]; [UnknownAccountExceptionTest]. LCC (Lack of Component Cohesion) = 0.23
temp,org.apache.ki.authc.credential,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.ki.authc.credential; org.apache.ki.util; org.apache.ki.mgt; org.apache.ki.realm
temp,org.apache.ki.authc.credential,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.ki.authc.credential; org.apache.ki.authc; org.apache.ki.subject; org.apache.ki.mgt; org.apache.ki.realm
temp,org.apache.ki.authc.credential,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.apache.ki.crypto.hash
temp,org.apache.ki.authc.pam,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.ki.authc.pam; org.apache.ki.realm; org.apache.ki.mgt
temp,org.apache.ki.authc.pam,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.ki.authc.pam; org.apache.ki.authc; org.apache.ki.subject; org.apache.ki.mgt
temp,org.apache.ki.authc.pam,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.ki.authc.pam; org.apache.ki.authc; org.apache.ki.subject; org.apache.ki.util; org.apache.ki.mgt
temp,org.apache.ki.authz,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.ki.authz; org.apache.ki.subject
temp,org.apache.ki.authz,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.ki.authz; org.apache.ki.subject; org.apache.ki.mgt
temp,org.apache.ki.authz,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.ki.authz; org.apache.ki.subject; org.apache.ki.mgt; org.apache.ki.authc
temp,org.apache.ki.authz,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.apache.ki.authz.permission
temp,org.apache.ki.authz,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AuthorizationException; UnauthenticatedException; UnauthorizedException; Authorizer; ModularRealmAuthorizer; Permission; SimpleAuthorizingAccount; SimpleRole; AuthorizingAccount; HostUnauthorizedException]; [AuthorizationInfo; SimpleAuthorizationInfo]; [AuthorizationExceptionTest]; [HostUnauthorizedExceptionTest]; [UnauthenticatedExceptionTest]; [UnauthorizedExceptionTest]. LCC (Lack of Component Cohesion) = 0.38
