Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
temp,org.apache.ki.authc,AbstractAuthenticator,authenticate,Complex Method,Cyclomatic complexity of the method is 9,148
temp,org.apache.ki.authc,AbstractAuthenticator,authenticate,Long Statement,The length of the statement "String msg="No account information found for authentication token [" + token + "] by this "+ "Authenticator instance. Please check that it is configured correctly.";" is 165.,148
temp,org.apache.ki.authc,AbstractAuthenticator,authenticate,Long Statement,The length of the statement "String msg="Authentication failed for token submission [" + token + "]. Possible unexpected "+ "error? (Typical or expected login exceptions should extend from AuthenticationException).";" is 187.,148
temp,org.apache.ki.authc,AbstractAuthenticator,authenticate,Long Statement,The length of the statement "String msg="Unable to send notification for failed authentication attempt - listener error?. " + "Please check your AuthenticationListener implementation(s). Logging sending exception and " + "propagating original AuthenticationException instead...";" is 250.,148
temp,org.apache.ki.authc,SimpleAccount,SimpleAccount,Long Statement,The length of the statement "this(principal instanceof PrincipalCollection ? (PrincipalCollection)principal : new SimplePrincipalCollection(principal`realmName)`credentials);" is 145.,76
temp,org.apache.ki.authc,SimpleAccount,SimpleAccount,Long Parameter List,The method has 5 parameters. ,122
temp,org.apache.ki.authc,SimpleAccount,SimpleAccount,Long Parameter List,The method has 5 parameters. ,138
temp,org.apache.ki.authc,SimpleAuthenticationInfo,merge,Complex Conditional,The conditional expression info == null || info.getPrincipals() == null || info.getPrincipals().isEmpty() is complex.,109
temp,org.apache.ki.authc,SimpleAuthenticationInfo,merge,Complex Method,Cyclomatic complexity of the method is 8,109
temp,org.apache.ki.authc.credential,SimpleCredentialsMatcher,equals,Complex Conditional,The conditional expression (tokenCredentials instanceof byte[] || tokenCredentials instanceof char[] || tokenCredentials instanceof String) && (accountCredentials instanceof byte[] || accountCredentials instanceof char[] || accountCredentials instanceof String) is complex.,80
temp,org.apache.ki.authc.credential,SimpleCredentialsMatcher,equals,Long Statement,The length of the statement "log.debug("Performing credentials equality check for tokenCredentials of type [" + tokenCredentials.getClass().getName() + " and accountCredentials of type ["+ accountCredentials.getClass().getName()+ "]");" is 206.,80
temp,org.apache.ki.authc.credential,SimpleCredentialsMatcher,equals,Long Statement,The length of the statement "if ((tokenCredentials instanceof byte[] || tokenCredentials instanceof char[] || tokenCredentials instanceof String) && (accountCredentials instanceof byte[] || accountCredentials instanceof char[] || accountCredentials instanceof String)) {" is 241.,80
temp,org.apache.ki.authc.pam,AbstractAuthenticationStrategy,afterAttempt,Long Parameter List,The method has 5 parameters. ,56
temp,org.apache.ki.authc.pam,AbstractAuthenticationStrategy,merge,Long Statement,The length of the statement "throw new IllegalArgumentException("Attempt to merge authentication info from multiple realms` but aggreagate " + "AuthenticationInfo is not of type MergableAuthenticationInfo.");" is 179.,75
temp,org.apache.ki.authc.pam,AllSuccessfulStrategy,beforeAttempt,Long Statement,The length of the statement "String msg="Realm [" + realm + "] of type ["+ realm.getClass().getName()+ "] does not support "+ " the submitted AuthenticationToken ["+ token+ "]. The ["+ getClass().getName()+ "] implementation requires all configured realm(s) to support and be able to process the submitted "+ "AuthenticationToken.";" is 303.,47
temp,org.apache.ki.authc.pam,AllSuccessfulStrategy,afterAttempt,Long Parameter List,The method has 5 parameters. ,66
temp,org.apache.ki.authc.pam,AllSuccessfulStrategy,afterAttempt,Long Statement,The length of the statement "String msg="Unable to acquire account data from realm [" + realm + "]. The ["+ getClass().getName()+ " implementation requires all configured realm(s) to operate successfully "+ "for a successful authentication.";" is 213.,66
temp,org.apache.ki.authc.pam,AllSuccessfulStrategy,afterAttempt,Long Statement,The length of the statement "String msg="Realm [" + realm + "] could not find any associated account data for the submitted "+ "AuthenticationToken ["+ token+ "]. The ["+ getClass().getName()+ "] implementation requires "+ "all configured realm(s) to acquire valid account data for a submitted token during the "+ "log-in process.";" is 303.,66
temp,org.apache.ki.authc.pam,AtLeastOneSuccessfulStrategy,afterAllAttempts,Long Statement,The length of the statement "throw new AuthenticationException("Authentication token of type [" + token.getClass() + "] "+ "could not be authenticated by any configured realms. Please ensure that at least one realm can "+ "authenticate these tokens.");" is 223.,44
temp,org.apache.ki.authc.pam,AuthenticationStrategy,afterAttempt,Long Parameter List,The method has 5 parameters. ,80
temp,org.apache.ki.authc.pam,FirstSuccessfulStrategy,merge,Complex Conditional,The conditional expression aggregate != null && aggregate.getPrincipals() != null && !aggregate.getPrincipals().isEmpty() is complex.,49
temp,org.apache.ki.authc.pam,ModularRealmAuthenticator,assertRealmsConfigured,Long Statement,The length of the statement "String msg="Configuration error: No realms have been configured! One or more realms must be " + "present to execute an authentication attempt.";" is 144.,192
temp,org.apache.ki.authc.pam,ModularRealmAuthenticator,doSingleRealmAuthentication,Long Statement,The length of the statement "String msg="Realm [" + realm + "] does not support authentication token ["+ token+ "]. Please ensure that the appropriate Realm implementation is "+ "configured correctly or that the realm accepts AuthenticationTokens of this type.";" is 233.,207
temp,org.apache.ki.authc.pam,ModularRealmAuthenticator,doSingleRealmAuthentication,Long Statement,The length of the statement "String msg="Realm [" + realm + "] was unable to find account data for the "+ "submitted AuthenticationToken ["+ token+ "].";" is 124.,207
temp,org.apache.ki.authz.aop,AnnotationsAuthorizingMethodInterceptor,AnnotationsAuthorizingMethodInterceptor,Magic Number,The method contains a magic number: 5,48
