Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no
temp,org.apache.shiro.config,IniTest,getMetaClass,3,1,0,15
temp,org.apache.shiro.config,IniTest,setMetaClass,2,1,1,16
temp,org.apache.shiro.config,IniTest,testNoSections,2,1,0,17
temp,org.apache.shiro.config,IniTest,testIsContinued,2,1,0,18
temp,org.apache.shiro.config,IniTest,testBackslash,2,1,0,19
temp,org.apache.shiro.config,IniTest,testSplitKeyValue,2,1,0,20
temp,org.apache.shiro.config,IniTest,testSplitKeyValueNoValue,2,1,0,21
temp,org.apache.shiro.config,IniTest,testOneSection,2,1,0,22
temp,org.apache.shiro.config,IniTest,testPutAll,2,1,0,23
temp,org.apache.shiro.config,IniTest,testMerge,2,1,0,24
temp,org.apache.shiro.config,IniTest,testCreateWithDefaults,2,1,0,25
temp,org.apache.shiro.config,IniSecurityManagerFactoryTest,getMetaClass,3,1,0,14
temp,org.apache.shiro.config,IniSecurityManagerFactoryTest,setMetaClass,2,1,1,15
temp,org.apache.shiro.config,IniSecurityManagerFactoryTest,testGetInstanceWithoutIni,2,1,0,16
temp,org.apache.shiro.config,IniSecurityManagerFactoryTest,testGetInstanceWithResourcePath,2,1,0,17
temp,org.apache.shiro.config,IniSecurityManagerFactoryTest,testGetInstanceWithEmptyIni,2,1,0,18
temp,org.apache.shiro.config,IniSecurityManagerFactoryTest,testGetInstanceWithSimpleIni,2,1,0,19
temp,org.apache.shiro.config,IniSecurityManagerFactoryTest,testGetInstanceWithConfiguredRealm,2,1,0,20
temp,org.apache.shiro.config,IniSecurityManagerFactoryTest,testGetInstanceWithAutomaticallyCreatedIniRealm,2,1,0,21
temp,org.apache.shiro.config,IniSecurityManagerFactoryTest,testImplicitIniRealmWithAdditionalRealmConfiguration,2,1,0,22
temp,org.apache.shiro.config,IniSecurityManagerFactoryTest,testImplicitIniRealmWithConfiguredPermissionResolver,2,1,0,23
temp,org.apache.shiro.config,IniSecurityManagerFactoryTest,testCacheManagerConfigOrderOfOperations,2,1,0,24
temp,org.apache.shiro.config,MockPermissionResolver,getMetaClass,3,1,0,13
temp,org.apache.shiro.config,MockPermissionResolver,setMetaClass,2,1,1,14
temp,org.apache.shiro.config,MockPermissionResolver,getInvoked,3,1,0,15
temp,org.apache.shiro.config,MockPermissionResolver,isInvoked,3,1,0,16
temp,org.apache.shiro.config,MockPermissionResolver,setInvoked,2,1,1,17
temp,org.apache.shiro.config,MockPermissionResolver,resolvePermission,3,1,1,18
temp,org.apache.shiro.config.ogdl,CommonsInterpolatorTest,getMetaClass,3,1,0,16
temp,org.apache.shiro.config.ogdl,CommonsInterpolatorTest,setMetaClass,2,1,1,17
temp,org.apache.shiro.config.ogdl,CommonsInterpolatorTest,testBasicOperation,2,1,0,18
temp,org.apache.shiro.config.ogdl,CompositeBean,CompositeBean,2,1,0,13
temp,org.apache.shiro.config.ogdl,CompositeBean,CompositeBean,2,1,1,15
temp,org.apache.shiro.config.ogdl,CompositeBean,getMetaClass,3,1,0,17
temp,org.apache.shiro.config.ogdl,CompositeBean,setMetaClass,2,1,1,18
temp,org.apache.shiro.config.ogdl,CompositeBean,getName,3,1,0,19
