Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
temp,org.apache.shiro.config,IniTest,0,0,11,11,25,11,0,0,-1.0,0,0,C:\Users\qurra\temp\temp\config\core\target\generated-sources\groovy-stubs\test\org\apache\shiro\config\IniTest.java,11
temp,org.apache.shiro.config,IniSecurityManagerFactoryTest,0,0,11,11,25,11,0,0,-1.0,0,0,C:\Users\qurra\temp\temp\core\target\generated-sources\groovy-stubs\test\org\apache\shiro\config\IniSecurityManagerFactoryTest.java,10
temp,org.apache.shiro.config,MockPermissionResolver,0,0,6,6,18,6,0,0,-1.0,0,0,C:\Users\qurra\temp\temp\core\target\generated-sources\groovy-stubs\test\org\apache\shiro\config\MockPermissionResolver.java,9
temp,org.apache.shiro.config.ogdl,CommonsInterpolatorTest,1,1,3,3,10,3,0,0,1.0,0,0,C:\Users\qurra\temp\temp\config\ogdl\target\generated-sources\groovy-stubs\test\org\apache\shiro\config\ogdl\CommonsInterpolatorTest.java,11
temp,org.apache.shiro.config.ogdl,CompositeBean,0,0,27,27,69,27,0,0,-1.0,1,2,C:\Users\qurra\temp\temp\config\ogdl\target\generated-sources\groovy-stubs\test\org\apache\shiro\config\ogdl\CompositeBean.java,9
temp,org.apache.shiro.config.ogdl,DefaultInterpolatorTest,0,0,3,3,9,3,0,0,-1.0,0,0,C:\Users\qurra\temp\temp\config\ogdl\target\generated-sources\groovy-stubs\test\org\apache\shiro\config\ogdl\DefaultInterpolatorTest.java,11
temp,org.apache.shiro.config.ogdl,InitializableBean,0,0,5,5,14,5,0,0,-1.0,0,0,C:\Users\qurra\temp\temp\config\ogdl\target\generated-sources\groovy-stubs\test\org\apache\shiro\config\ogdl\InitializableBean.java,9
temp,org.apache.shiro.config.ogdl,RecordingBeanListener,0,0,12,12,32,12,0,0,-1.0,0,0,C:\Users\qurra\temp\temp\config\ogdl\target\generated-sources\groovy-stubs\test\org\apache\shiro\config\ogdl\RecordingBeanListener.java,10
temp,org.apache.shiro.config.ogdl,ReflectionBuilderTest,0,0,40,40,83,40,0,0,-1.0,0,0,C:\Users\qurra\temp\temp\config\ogdl\target\generated-sources\groovy-stubs\test\org\apache\shiro\config\ogdl\ReflectionBuilderTest.java,11
temp,org.apache.shiro.config.ogdl,SimpleBean,0,0,20,20,51,20,0,0,-1.0,1,0,C:\Users\qurra\temp\temp\config\ogdl\target\generated-sources\groovy-stubs\test\org\apache\shiro\config\ogdl\SimpleBean.java,9
temp,org.apache.shiro.config.ogdl,SimpleBeanFactory,0,0,7,7,20,7,0,0,-1.0,0,0,C:\Users\qurra\temp\temp\config\ogdl\target\generated-sources\groovy-stubs\test\org\apache\shiro\config\ogdl\SimpleBeanFactory.java,9
temp,org.apache.shiro.config.ogdl.event,BeanEventTest,0,0,6,6,19,6,0,0,-1.0,0,0,C:\Users\qurra\temp\temp\config\ogdl\target\generated-sources\groovy-stubs\test\org\apache\shiro\config\ogdl\event\BeanEventTest.java,11
temp,org.apache.shiro.config.ogdl.event,MyBeanEvent,0,0,3,3,10,3,0,0,-1.0,0,0,C:\Users\qurra\temp\temp\config\ogdl\target\generated-sources\groovy-stubs\test\org\apache\shiro\config\ogdl\event\BeanEventTest.java,18
temp,org.apache.shiro.config.ogdl.event,LoggingBeanEventListenerTest,0,0,6,6,19,6,0,0,-1.0,0,0,C:\Users\qurra\temp\temp\core\target\generated-sources\groovy-stubs\test\org\apache\shiro\config\ogdl\event\LoggingBeanEventListenerTest.java,9
temp,org.apache.shiro.config.ogdl.event,MisnamedBean,0,0,3,3,10,3,0,0,-1.0,0,0,C:\Users\qurra\temp\temp\core\target\generated-sources\groovy-stubs\test\org\apache\shiro\config\ogdl\event\LoggingBeanEventListenerTest.java,16
temp,org.apache.ki.aop,AnnotationHandler,1,0,4,2,44,5,0,0,0.5,1,1,C:\Users\qurra\temp\temp\core\src\main\java\org\apache\ki\aop\AnnotationHandler.java,27
temp,org.apache.ki.aop,AnnotationMethodInterceptor,1,0,5,4,46,7,0,2,0.0,0,2,C:\Users\qurra\temp\temp\core\src\main\java\org\apache\ki\aop\AnnotationMethodInterceptor.java,25
temp,org.apache.ki.aop,MethodInterceptor,0,0,1,0,14,1,1,0,-1.0,0,1,C:\Users\qurra\temp\temp\core\src\main\java\org\apache\ki\aop\MethodInterceptor.java,40
temp,org.apache.ki.aop,MethodInterceptorSupport,0,0,2,1,19,2,1,1,-1.0,0,1,C:\Users\qurra\temp\temp\core\src\main\java\org\apache\ki\aop\MethodInterceptorSupport.java,44
temp,org.apache.ki.aop,MethodInvocation,0,0,3,0,24,3,0,0,-1.0,6,0,C:\Users\qurra\temp\temp\core\src\main\java\org\apache\ki\aop\MethodInvocation.java,42
temp,org.apache.ki.authc,AbstractAuthenticator,2,0,10,6,129,22,0,1,0.0,1,5,C:\Users\qurra\temp\temp\core\src\main\java\org\apache\ki\authc\AbstractAuthenticator.java,30
temp,org.apache.ki.authc,Account,0,0,0,0,9,0,1,1,-1.0,1,0,C:\Users\qurra\temp\temp\core\src\main\java\org\apache\ki\authc\Account.java,23
