Version,Commit-hash,Date,LOC,Total architecture smells
V1,307cef0096f388bd03e60f86ba475e474380ff1c,2005-07-14,2035,5
V2,15c74cc2f28833b0b73d95baf22600428d818b6e,2007-02-01,10386,19
V3,3459df54dcec77d17f56b6e3079a1e6b2361526d,2008-02-21,16771,49
V4,844a554166edb8830bc5b20eda90cd083a936f69,2008-07-14,21473,94
V5,f1ef25401bf84882b8b82e4b01501401c12c912b,2009-03-24,23129,78
V6,3fd2fe9a0879e47dab8ab399a75af55a1ce1a447,2010-05-11,32183,67
V7,0febcedc0bed30f20bd0221e19b5efdb306b5559,2012-01-19,38007,95
V8,30aed884db2372ee113467ae3174c85ba3cf79dc,2018-04-09,42684,105
V9,656291f1344b9ec4bfb9d42cc1b5af7fc65e1468,2020-04-13,43063,105
V10,bc0fb939af88e58329aac4db0865b63bc284bf45,2022-02-09,44638,110
