Version,Ambigious interface,Cyclic dependency,Dense structure,God component,Feature concentration,Scattered functionality,Unstable dependency
307cef0096f388bd03e60f86ba475e474380ff1c,0,0,0,0,5,0,0
15c74cc2f28833b0b73d95baf22600428d818b6e,0,5,0,0,12,0,2
3459df54dcec77d17f56b6e3079a1e6b2361526d,0,28,0,0,13,0,8
844a554166edb8830bc5b20eda90cd083a936f69,0,63,0,0,18,0,13
f1ef25401bf84882b8b82e4b01501401c12c912b,0,49,0,1,17,0,11
3fd2fe9a0879e47dab8ab399a75af55a1ce1a447,0,21,0,1,35,0,10
0febcedc0bed30f20bd0221e19b5efdb306b5559,0,38,0,2,44,0,11
30aed884db2372ee113467ae3174c85ba3cf79dc,0,38,0,3,51,0,13
656291f1344b9ec4bfb9d42cc1b5af7fc65e1468,0,38,0,3,51,0,13
bc0fb939af88e58329aac4db0865b63bc284bf45,0,36,0,2,57,0,15
